parameters,,,,,,
spname,command,pname,varname,varmethod,required,description
tester,CANCEL-MEAS,PortID,,,1,
tester,CHANGE-OCR-STATE,RequestedOCRState,RequestedOCRState,,1,
tester,CLOSE-LOT,PortID,,,1,
tester,DELAYEDPAUSE,PortID,,,1,
tester,DELAYEDPAUSE,PausePoint,,,1,
tester,PP-SELECT,PortID,,,1,
tester,PP-SELECT,LotID,LotID,,1,
tester,PP-SELECT,OperatorID,OperatorID,,1,
tester,PP-SELECT,PPExecName,PPExecName,,1,
tester,PP-SELECT,ProberRecipeFileName,ProberRecipeFileName,,1,
tester,PP-SELECT,WaferList,WaferList,,1
tester,PP-SELECT,ProductID,ProductID,,1,
tester,PP-SELECT,TestBoardID,TestBoardID,,1
tester,PP-SELECT,OperationIdentifier,OperationIdentifier,,1,
tester,PP-SELECT,SortFlow,SortFlow,,1,
tester,RETEST,PortID,,,1
tester,RETEST,WaferList,WaferList,,1
tester,START,PortID,,,1
