reports,,
spname,RPTID,VIDs
tester,1000,
tester,1001,
tester,1002,1370 1470 1100
tester,1003,1370 1060 1110 1120 1130
tester,1004,
tester,1005,
tester,1006,2300 2420 2760 1410 2805
tester,1007,1370 
tester,1008,1370 1290 1182 1184
tester,1009,
tester,1010,1370 1300 1320 2150
tester,1011,
tester,1012,
tester,1013,1370 1340
tester,1014,1370
tester,1015,
tester,1016,1370 1300 1420
tester,1017,1370 1360 1400 1730 1430 1140 1450 1440 1460 1710 1640 1650 1270 2150 1410 2805
tester,1018,1250 1560 1720 1260 1240 1230 1110 1120 1360 1400 1730 1430 1140 1450 1440 1460 1710 1640 1650 1270 2150 1410 2805
tester,1019,
tester,1020,
tester,1021,
tester,1022,1370 1550 1480 1182 1184
tester,1023,1370 1560 1720 1570 1070 1080
tester,1024,
tester,1025,1370
tester,1028,1370
tester,1029,1370
tester,1030,1370 1420
tester,1031,1560
tester,1032,2921
gemprober,2000,73729 73730
gemprober,2100,192517 192516 192513 
gemprober,2101,192516 192513
