alarms,,,,,,,,
spname,ALID,idTSN,setCEID,clearCEID,category,isEnabled,isSet,ALTX
gemprober,16777217,U4,0,0,0,1,0,STAGE MOTOR SPEED SETTING ERROR
gemprober,16777218,U4,0,0,0,1,0,STAGE MOTOR ERROR
gemprober,16777219,U4,0,0,0,1,0,STAGE MOTOR ERROR
gemprober,16777220,U4,0,0,0,1,0,XYZ AXES MOTOR ERROR
gemprober,16777221,U4,0,0,0,1,0,XYZT AXES MOTOR ERROR
gemprober,16777222,U4,0,0,0,1,0,STAGE INITIALIZATION ERROR
gemprober,16777226,U4,0,0,0,1,0,X AXIS SERVO PACK ERROR
gemprober,16777227,U4,0,0,0,1,0,X AXIS INITIAL PROCESSING ERROR
gemprober,16777228,U4,0,0,0,1,0,X AXIS DRIVE PULSE DOES NOT MATCH
gemprober,16777229,U4,0,0,0,1,0,X AXIS TIME OUT ERROR
gemprober,16777230,U4,0,0,0,1,0,X AXIS MOTOR DRIVER ERROR
gemprober,16777231,U4,0,0,0,1,0,X MOTOR ENCODER ERROR
gemprober,16777232,U4,0,0,0,1,0,X AXIS SERVO MOTOR COMMUNICATION ERROR
gemprober,16777233,U4,0,0,0,1,0,X AXIS ENCODER ABSOLUTE POSITION ERROR
gemprober,16777246,U4,0,0,0,1,0,Y AXIS SERVO PACK ERROR
gemprober,16777247,U4,0,0,0,1,0,Y AXIS INITIAL PROCESSING ERROR
gemprober,16777248,U4,0,0,0,1,0,Y AXIS DRIVER PULSE DOES NOT MATCH
gemprober,16777249,U4,0,0,0,1,0,Y AXIS TIME OUT ERROR
gemprober,16777250,U4,0,0,0,1,0,Y AXIS MOTOR DRIVER ERROR
gemprober,16777251,U4,0,0,0,1,0,Y MOTOR ENCODER ERROR
gemprober,16777252,U4,0,0,0,1,0,Y AXIS SERVO MOTOR COMMUNICATION ERROR
gemprober,16777253,U4,0,0,0,1,0,Y AXIS ENCODER ABSOLUTE POSITION ERROR
gemprober,16777266,U4,0,0,0,1,0,Z AXIS MOTOR DRIVER ENCODER ERROR
gemprober,16777267,U4,0,0,0,1,0,Z AXIS INITIAL PROCESSING ERROR
gemprober,16777268,U4,0,0,0,1,0,Z AXIS DRIVE PULSE DOES NOT MATCH
gemprober,16777269,U4,0,0,0,1,0,Z AXIS TIME OUT ERROR
gemprober,16777270,U4,0,0,0,1,0,Z AXIS MOTOR DRIVER ERROR
gemprober,16777271,U4,0,0,0,1,0,Z AXIS ENCODER ABSOLUTE POSITION ERROR
gemprober,16777272,U4,0,0,0,1,0,Z AXIS ENCODER ABSOLUTE POSITION ERROR
gemprober,16777273,U4,0,0,0,1,0,Z AXIS INITIAL SENSOR ERROR
gemprober,16777274,U4,0,0,0,1,0,Z AXIS INITIAL SENSOR LOGIC NON­CONFORMITY ERROR
gemprober,16777275,U4,0,0,0,1,0,Z AXIS INTERLOCK ERROR
gemprober,16777286,U4,0,0,0,1,0,q AXIS MOTOR ENCODER ERROR
gemprober,16777287,U4,0,0,0,1,0,q AXIS INITIAL PROCESSING ERROR
gemprober,16777288,U4,0,0,0,1,0,q AXIS DRIVE PULSE DOES NOT MATCH
gemprober,16777289,U4,0,0,0,1,0,q AXIS TIME OUT ERROR
gemprober,16777290,U4,0,0,0,1,0,q AXIS MOTOR DRIVER ERROR
gemprober,16777291,U4,0,0,0,1,0,3 PIN UP SENSOR ERROR
gemprober,16777316,U4,0,0,0,1,0,NEEDLE POLISHER DOWN SENSOR ERROR (DOES NOT TURN ON)
gemprober,16777317,U4,0,0,0,1,0,UPPER/LOWER CAMERA POSITIONING TARGET SENSOR ERROR (BOTH SENSORS
gemprober,16777318,U4,0,0,0,1,0,UPPER/LOWER CAMERA POSITIONING TARGET DOWN SENSOR ERROR
gemprober,16777319,U4,0,0,0,1,0,BRIDGE LOCK SENSOR ERROR
gemprober,16777320,U4,0,0,0,1,0,BRIDGE LIMIT SENSOR ERROR
gemprober,16777321,U4,0,0,0,1,0,VACUUM SENSOR ERROR (NOT COMPLETELY OFF)
gemprober,16777322,U4,0,0,0,1,0,VACUUM SENSOR ERROR (NOT COMPLETELY ON)
gemprober,16777323,U4,0,0,0,1,0,VACUUM SENSOR ERROR (DOES NOT TURN OFF)
gemprober,16777324,U4,0,0,0,1,0,PROBE POLISHER DOWN SENSOR ERROR (DOES NOT TURN OFF)
gemprober,16777325,U4,0,0,0,1,0,UPPER/LOWER CAMERA POSITIONING TARGET UP SENSOR ERROR
gemprober,16777336,U4,0,0,0,1,0,BRIDGE ESCAPE LIMIT SENSOR ERROR
gemprober,16777337,U4,0,0,0,1,0,BRIDGE CENTER LIMIT SENSOR ERROR
gemprober,16777338,U4,0,0,0,1,0,BRIDGE LOCK DOWN SENSOR ERROR
gemprober,16777339,U4,0,0,0,1,0,RING DOWN EXECUTION ERROR
gemprober,16777340,U4,0,0,0,1,0,RING UP EXECUTION ERROR
gemprober,16777341,U4,0,0,0,1,0,TEST HEAD OPEN ERROR
gemprober,16777342,U4,0,0,0,1,0,RING OPEN WAS DETECTED
gemprober,16777343,U4,0,0,0,1,0,CANNOT EXECUTE RING OPEN
gemprober,16777344,U4,0,0,0,1,0,CANNOT EXECUTE RING CLOSE
gemprober,16777345,U4,0,0,0,1,0,THE POLISHER VACUUM SENSOR TURNED OFF PART WAY
gemprober,16777346,U4,0,0,0,1,0,THE POLISHER VACUUM SENSOR WONT TURN ON
gemprober,16777347,U4,0,0,0,1,0,THE POLISHER VACUUM SENSOR WONT TURN OFF
gemprober,16777348,U4,0,0,0,1,0,CANNOT TURN ON THE AIR BEARING VACUUM SENSOR
gemprober,16777349,U4,0,0,0,1,0,CANNOT TURN OFF THE AIR BEARING VACUUM SENSOR
gemprober,16777350,U4,0,0,0,1,0,THE WAPP LOCK SENSOR IS NOT TURNED ON
gemprober,16777351,U4,0,0,0,1,0,THE WAPP LOCK SENSOR IS NOT TURNED OFF
gemprober,16777416,U4,0,0,0,1,0,IMAGE RECOGNITION DEVICE (MAGIC) COMMUNICATION ERROR
gemprober,16777417,U4,0,0,0,1,0,A PARAMETER ERROR OCCURRED WITH THE IP BOARD
gemprober,16777816,U4,0,0,0,1,0,UNDEFINED PARAMETER RECEIVED
gemprober,16777817,U4,0,0,0,1,0,HEAD PLATE IS OPEN
gemprober,16777818,U4,0,0,0,1,0,SOLENOID DRIVE ESCAPE OPERATION NOT POSSIBLE
gemprober,16777819,U4,0,0,0,1,0,MARKER ARM Z POSITION ERROR
gemprober,16777820,U4,0,0,0,1,0,MARKER ARM HOME POSITION ERROR
gemprober,16777821,U4,0,0,0,1,0,MARKER ARM LOCK ERROR
gemprober,16777822,U4,0,0,0,1,0,MARKER ARM REVOLUTION ERROR (LOAD)
gemprober,16777823,U4,0,0,0,1,0,MARKER ARM REVOLUTION ERROR (UNLOAD)
gemprober,16777824,U4,0,0,0,1,0,CANNOT RELEASE THE MECHANISM RELATED TO THE INKER ARM.
gemprober,16777825,U4,0,0,0,1,0,AIR PRESSURE DECREASE DETECTED
gemprober,16777826,U4,0,0,0,1,0,VACUUM AIR PRESSURE DECREASE DETECTED
gemprober,16777827,U4,0,0,0,1,0,SACC INITIALIZE ERROR
gemprober,16777828,U4,0,0,0,1,0,MARKER ARM INITIALIZE ERROR
gemprober,16777829,U4,0,0,0,1,0,SACC LOCK ERROR
gemprober,16777830,U4,0,0,0,1,0,SACC Z DOWN ERROR
gemprober,16777831,U4,0,0,0,1,0,SACC UNLOAD ERROR
gemprober,16777832,U4,0,0,0,1,0,INKER ARM SENSOR ERROR
gemprober,16777833,U4,0,0,0,1,0,SACC COVER OPEN ERROR
gemprober,16777836,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
gemprober,16777837,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
gemprober,16777838,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
