#
#  Stream and Function Description Table
#
#  Used for Trace Messages
#
S1F0  "Not On Line"
S1F1  "Are You There?"
S1F2  "On Line Data"
S1F3  "Selected Equipment Status Request"
S1F4  "Selected Equipment Status Data"
S1F5  "Formatted Status Request"
S1F6  "Formatted Status Data"
S1F7  "Fixed Form Request"
S1F8  "Fixed Form Data"
S1F9  "Material Transfer Status Request"
S1F10 "Material Transfer Status Data"
S1F11 "Status Variable Namelist Request"
S1F12 "Status Variable Namelist Reply"
S1F13 "Establish Communications Request"
S1F14 "Establish Communications Request Acknowledge"
S1F15 "Request OFF-LINE"
S1F16 "OFF-LINE Acknowledge"
S1F17 "Request ON-LINE"
S1F18 "ON-LINE Acknowledge"
S1F19 "Get Attribute"
S1F20 "Attribute Data"
S2F0  "Abort Transaction"
S2F1  "Service Program Load Inquire"
S2F2  "Service Program Load Grant"
S2F3  "Service Program Send"
S2F4  "Service Program Send Acknowledge"
S2F5  "Service Program Load Request"
S2F6  "Service Program Load Data"
S2F7  "Service Program Run Send"
S2F8  "Service Program Run Acknowledge"
S2F9  "Service Program Results Request"
S2F10 "Service Program Results Data"
S2F11 "Service Program Directory Request"
S2F12 "Service Program Directory Data"
S2F13 "Equipment Constant Request"
S2F14 "Equipment Constant Data"
S2F15 "New Equipment Constant Send"
S2F16 "New Equipment Constant Ack"
S2F17 "Date and Time Request"
S2F18 "Date and Time Data"
S2F19 "Reset/Initialize Send"
S2F20 "Reset Acknowledge"
S2F21 "Remote Command Send"
S2F22 "Remote Command Acknowledge"
S2F23 "Trace Initialize Send"
S2F24 "Trace Initialize Acknowledge"
S2F25 "Loopback Diagnostic Request"
S2F26 "Loopback Diagnostic Data"
S2F27 "Initiate Processing Request"
S2F28 "Initiate Processing Acknowledge"
S2F29 "Equipment Constant Namelist Request"
S2F30 "Equipment Constant Namelist"
S2F31 "Date and Time Set Request"
S2F32 "Date and Time Set Acknowledge"
S2F33 "Define Report"
S2F34 "Define Report Acknowledge"
S2F35 "Link Event Report"
S2F36 "Link Event Report Acknowledge"
S2F37 "Enable/Disable Event Report"
S2F38 "Enable/Disable Event Report Acknowledge"
S2F39 "Multi-block Inquire"
S2F40 "Multi-block Grant"
S2F41 "Host Command Send"
S2F42 "Host Command Acknowledge"
S2F43 "Configure Spooling"
S2F44 "Configure Spooling Acknowledge"
S2F45 "Define Variable Limit Attributes"
S2F46 "Define Variable Limit Attributes Acknowledge"
S2F47 "Variable Limit Attribute Request"
S2F48 "Variable Limit Attribute Send"
S2F49 "Enhanced Remote Command"
S2F50 "Enhanced Remote Command Acknowledge"
S3F0  "Abort Transaction"
S3F1  "Material Status Request"
S3F2  "Material Status Data"
S3F3  "Time to Completion Request"
S3F4  "Time to Completion Data"
S3F5  "Material Found Send"
S3F6  "Material Found Ack"
S3F7  "Material Lost Send"
S3F8  "Material Lost Ack"
S3F9  "Matl ID Equate Send"
S3F10 "Matl ID Equate Ack"
S3F11 "Matl ID Request"
S3F12 "Matl ID Request Ack"
S3F13 "Matl ID Send"
S3F14 "Matl ID Ack"
S3F15 "Matls Multi-block Inquire"
S3F16 "Matls Multi-block Grant"
S3F17 "Carrier Action Request"
S3F18 "Carrier Action Ack"
S3F19 "Cancel All Carrier Out Req"
S3F20 "Cancel All Carrier Out Ack"
S3F21 "Port Group Defn"
S3F22 "Port Group Defn Ack"
S3F23 "Port Group Action Req"
S3F24 "Port Group Action Ack"
S3F25 "Port Action Req"
S3F26 "Port Action Ack"
S3F27 "Change Access"
S3F28 "Change Access Ack"
S3F29 "Carrier Tag Read Req"
S3F30 "Carrier Tag Read Data"
S3F31 "Carrier Tag Write Data"
S3F32 "Carrier Tag Write Ack"
S3F33 "Cancel All Pod Out Req"
S3F34 "Cancel All Pod Out Ack"
S3F35 "Reticle Transfer Job Req"
S3F36 "Reticle Transfer Job Ack"
S4F0  "Abort"
S4F1  "Ready to Send Materials"
S4F2  "Ready to Send Ack"
S4F3  "Send Material"
S4F5  "Handshake Complete"
S4F7  "Not Ready to Send"
S4F9  "Stuck in Sender"
S4F11 "Stuck in Receiver"
S4F13 "Send Incomplete Timeout"
