event_reports,,
spname,CEID,RPTID
GEMPORT,5063,6005
GEMPORT,5102,6003
GEMPORT,5103,6000
GEMPORT,5103,6003
GEMPORT,5104,6003
GEMPORT,5106,6003
GEMPORT,5107,6003
GEMPORT,5124,6003
GEMPORT,5129,6003
GEMPORT,5150,6003
GEMPORT,5151,6003
GEMPORT,5152,6003
GEMPORT,5153,6002
GEMPORT,5153,6003
GEMPORT,5153,6004
GEMPORT,5154,6003
GEMPORT,5155,6002
GEMPORT,5155,6003
GEMPORT,5155,6004
GEMPORT,5156,6003
GEMPORT,5157,6001
GEMPORT,5157,6003
GEMPORT,5157,6004
GEMPORT,5159,6003
GEMPORT,5161,6001
GEMPORT,5161,6003
GEMPORT,5164,6003
GEMPORT,5165,6001
GEMPORT,5165,6003
GEMPORT,5165,6004
GEMPORT,5166,6003
GEMPORT,5167,6003
GEMPORT,5168,6003
GEMPORT,5169,6003
GEMPORT,5170,6003
GEMPORT,5171,6003
