reports
spname,RPTID,VIDs,description,eqRPTID
GEMPORT,6000,1300 1400 1450 1360 2860 2340 2270 2500 2520 2700,,
GEMPORT,6001,1300 1400 1510 1200 2860 1190 1450 1330 1360 2500 2520 2700,Setup,
GEMPORT,6002,1560 1300 1400 1510 1200 2860 1580 1190 1450 1360 2500 2520 2700,Lot Complete,
GEMPORT,6003,1360 1300 1560 1400 2340 2270 1310 2500 2520 2700,SubLot Complete,
GEMPORT,6004,1360 1300 1560 1400 2860 2500 2520 2700,Process,
GEMPORT,6005,1360 1400 2860 2500 2520 2700,Lot/SubLot,
GEMPORT,6006,1360 1400 2210 2860 2220,Diagnostics,
GEMPORT,6007,1360 1300 1395 1560 1400 2340 2270 1310 2500 2520 2700,PP-BADCOMPILE,
GEMPORT,6901,1740 ,Control Job - ObjID,
GEMPORT,6902,1741 ,Control Job - CurrentPRJob,
GEMPORT,6903,1742 ,Control Job - DataCollectionPlan,
GEMPORT,6904,1743 ,Control Job - CarrierInputSpec,
GEMPORT,6905,1744 ,Control Job - MtrlOutSpec,
GEMPORT,6906,1745 ,Control Job - MtrlOutbyStatus,
GEMPORT,6907,1746 ,Control Job - PauseEvent,
GEMPORT,6908,1747 ,Control Job - ProcessingCtrlSpec,
GEMPORT,6909,1748 ,Control Job - ProcessOrderMgmt,
GEMPORT,6910,1749 ,Control Job - StartMethod,
GEMPORT,6911,1750 ,Control Job - State,
GEMPORT,6921,1760 ,Control Job - PRJobStatusList,
GEMPORT,6912,1751 ,Process Job - ObjID,
GEMPORT,6913,1752 ,Process Job - PauseEvent,
GEMPORT,6914,1753 ,Process Job - PRJobState,
GEMPORT,6915,1754 ,Process Job - PRMtlNameList,
GEMPORT,6916,1755 ,Process Job - PRMtlType,
GEMPORT,6917,1756 ,Process Job - PRProcessStart,
GEMPORT,6918,1757 ,Process Job - PRRecipeMethod,
GEMPORT,6919,1758 ,Process Job - RecID,
GEMPORT,6920,1759 ,Process Job - RecVariableList,
GEMPORT,6101,83729 83730,portid carrierid,
GEMPORT,6102,1370 1020,portid carrierid,
GEMPORT,6103,83729 83730 83740,portid carrierid slotmap,
GEMPROBER,1,0x00012002,Prober Default Report CarrierID,
GEMPROBER,2,0x0001200c,Prober Default Report SlotMap,
GEMPROBER,3,0x00012001,Prober Default Report PortID,
GEMPROBER,4,108,Prober Default Report JobID,
