variables,,,,,,,,,,,,,,,,
spname,varID,eqname,eqvarID,idTSN,varname,description,varclass,valueTSN,varmethod,varvalue,tLatest,units,ECMIN,ECMAX,ECDEF,eqVarname
GEMPORT,2000,,,U4,AlarmsEnabled,The list of alarms that have been enabled for reporting.,SV,L,eq_AlarmsEnabled GEMPORT,,,,,,, 
GEMPORT,2010,,,U4,AlarmsSet,The list of alarms that are ON (in an unsafe state on the equipment.,SV,L,eq_AlarmsSet GEMPORT,,,,,,, 
GEMPORT,2020,,,U4,AlarmsState,The value of the latest alarm transition Collection Event ID.,SV,U4,return $varvalue,0,,,,,, 
GEMPORT,2030,,,U4,BaseConfig,Base tester configuration listing all physical heads and sites.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2040,,,U4,CalDate,Date of last successful calibration.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2050,,,U4,CalFixtureID,ID of calibration fixture in current configuration.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2060,,,U4,CalInterval,Time limit between calibrations.,SV,L,return $varvalue,,,,,,, 
GEMPORT,2070,,,U4,CalStatus,Status of last calibration (1=OK,SV,L,return $varvalue,,,,,,, 
GEMPORT,2080,,,U4,CarrierID1,Identifier of the FOUP on port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2090,,,U4,CarrierID2,Identifier of the FOUP on port 2.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2100,,,U4,CLOCK,The value of the equipment hardware clock. Time and date formatted by TimeFormat.,SV,A,secs_CLOCK GEMPORT,,,,,,, 
GEMPORT,2110,,,U4,ConfigInfo,Configuration information.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2120,,,U4,ConfigInfoType,Configuration information source (0=Auto  1=Manual/File.),SV,U4,return $varvalue,0,,,,,, 
GEMPORT,2140,,,U4,ControlState,The value of the current control state. 0 = Offline; 1 = Online,SV,U1,eq_ControlState GEMPORT,0,,,,,, 
GEMPORT,2150,,,U4,CurrentOCRState,Current OCR state.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2160,,,U4,Datalog,Datalog used.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2170,,,U4,DatalogConfig1,Data log configuration for port 1.,SV,A,return $varvalue,,,,,,, 
GEMPORT,2180,,,U4,DatalogConfig2,Data log configuration for port 2.,SV,A,return $varvalue,,,,,,, 
