variables
spname,varID,eqname,eqvarID,idTSN,varname,description,varclass,valueTSN,varmethod,varvalue,tLatest,units,ECMIN,ECMAX,ECDEF,eqVarname
GEMPORT,10080,GEMPROBER,80,U4,EstablishCommunicationTimeout,Interval in seconds,ECV,U2,return $varvalue,30,,s,1,300,,
GEMPORT,10081,GEMPROBER,81,U4,MaxSpoolTransmit,Number of messages that are to be re-sent at a time. All messages will be re-sent at a time by selecting 0 (zero).,ECV,U4,return $varvalue,10,,,0,70,,
GEMPORT,10082,GEMPROBER,82,U4,OverWriteSpool,TRUE = Overwrite FALSE = Not overwrite,ECV,TF,return $varvalue,1,,,0,1,,
GEMPORT,10083,GEMPROBER,83,U4,JobMax,Max. number of jobs,ECV,U4,return $varvalue,2,,,1,2,,
GEMPORT,10084,GEMPROBER,84,U4,InitCommState,1=Enabled 2=Disabled,ECV,U2,return $varvalue,1,,,1,2,,
GEMPORT,10085,GEMPROBER,85,U4,InitControlState,1=Online 2=Offline,ECV,U2,return $varvalue,1,,,1,2,,
GEMPORT,10086,GEMPROBER,86,U4,OnlineSubState,4=ON-LINE / LOCAL 5=ON-LINE / REMOTE,ECV,U2,return $varvalue,5,,,4,5,,
GEMPORT,10087,GEMPROBER,87,U4,OfflineSubState,1=OFF-LINE / EQUIPMENT OFF-LINE 2=OFF-LINE / ATTEMPT ON-LINE 3=OFF-LINE / HOST OFF-LINE,ECV,U2,return $varvalue,1,,,1,3,,
GEMPORT,10088,GEMPROBER,88,U4,OnlineFailed,1=OFF-LINE / EQUIPMENT OFF-LINE 3=OFF-LINE / HOST OFF-LINE,ECV,U2,return $varvalue,1,,,1,3,,
GEMPORT,10400,GEMPROBER,400,U4,ConfigSpool,TRUE=Spooling is performed. FALSE=Spooling is not performed.,ECV,TF,return $varvalue,0,,,0,1,,
GEMPORT,10401,GEMPROBER,401,U4,StopUnit,0 : Die unit;1 : Wafer unit;2 : Cassette unit;3 : Lot unit,ECV,U1,return $varvalue,0,,,0,3,,
GEMPORT,10402,GEMPROBER,402,U4,AlarmAtSpoolActive,TRUE : Occurs. FALSE : Does not occur.,ECV,TF,return $varvalue,1,,,0,1,,
GEMPORT,10403,GEMPROBER,403,U4,BinType,0 = X Y BIN...X Y BIN; 1 = X1 Y1 N1 BIN BIN...Xn Yn Nn BIN BIN BIN; 2 = BIN BIN...BIN,ECV,U1,return $varvalue,0,,,0,2,,
GEMPORT,3000,,,U4,AnnotateEventReports,Determines whether the equipment uses S6F11 or S6F13 for event reporting.(1=S6F13  0=S6F11.,ECV,TF,return $varvalue,1,,,0,1,1,
GEMPORT,3010,,,U4,DateTimeRequestPeriod,Determines the frequency of the heartbeat message (S1F1 in seconds.  0=never.,ECV,U2,return $varvalue,0,,s,0,32767,0,
GEMPORT,3020,,,U4,EstablishCommStream,Determines whether S1F1 or S1F13 will be used for establishing communications.  1=S1F13; 0=S1F1.,ECV,TF,return $varvalue,1,,,0,1,1,
GEMPORT,3030,,,U4,EstablishCommunicationsTimeout,Contains the time  in seconds to wait when attempting to establish communications with the host.,ECV,U2,return $varvalue,30,,s,10,32767,,
GEMPORT,3040,,,U4,HSMSConnectMode,Whether to establish the TCP/IP socket session when opening the hsms session.  ACTIVE (communicate with existing session or PASSIVE (create new session.,ECV,A,return $varvalue,PASSIVE,,,,,PASSIVE,
GEMPORT,3050,,,U4,IPAddressPort,If HSMSConnectMode is PASSIVE the port on which the TCP/IP socket session will be established.  If HSMSConnectMode is ACTIVE  the host and port to connect to in the format hostname:portnumber.,ECV,A,return $varvalue,5555,,,,,,
GEMPORT,3060,,,U4,SpoolWhenNoComm,Whether to turn on spooling when there is no host communication.  1=turn on spooling; 0=no spooling.,ECV,TF,return $varvalue,0,,0,0,0,0,
GEMPORT,3070,,,U4,T3,Reply timeout.,ECV,A,return $varvalue,45,,s,1,120,45,
GEMPORT,3080,,,U4,T5,Connect separation timeout.,ECV,A,return $varvalue,10,,s,1,240,10,
GEMPORT,3090,,,U4,T6,Control transaction timeout.,ECV,A,return $varvalue,5,,s,1,240,5,
GEMPORT,3100,,,U4,T7,NOT SELECTED timeout.,ECV,A,return $varvalue,10,,s,1,240,10,
GEMPORT,3110,,,U4,T8,Network inter-character timeout.,ECV,A,return $varvalue,5,,s,1,120,5,
GEMPORT,3120,,,U4,TestSiteInterval,ID of each virtual configuration.  Like sampling  report every nth part.,ECV,U4,return $varvalue,0,,,,,,
GEMPORT,3130,,,U4,TimeFormat,0==YYMMDDhhmmss 1==YYYYMMDDhhmmsscc 2==YYYY-MM-DDThh:mm:ss.sTZD in S2F18  S2F31 S6F1.,ECV,U1,return $varvalue,1,,,0,2,,
GEMPORT,3140,,,U4,RecipeOwner,1=tester 2=prober,ECV,U1,return $varvalue,1,,,1,2,
GEMPORT,3145,,,U4,RecipeDirMask,Mask used to filter directory results. ,ECV,A:20,return $varvalue,ALL,,,,,
GEMPORT,3150,,,U4,SetUpName,Host sets this to define the operational condition of the equipment. ,ECV,A,return $varvalue,unknown,,,,,
GEMPORT,3160,,,U4,OfflineSubstate,1 = EqpOffline 2 = AttemptOnline 3 = HOSTOffline.,ECV,U1,return $varvalue,2,,,1,3,
GEMPORT,3165,,,U4,OnlineSubstate,4 = Local 5 = Remote.,ECV,U1,return $varvalue,5,,,4,5,
GEMPORT,3170,,,U4,SubstIDWFHVerification,1 = VGEMVerification 2=HostVerfication,ECV,U1,return $varvalue,2,,,1,2,
GEMPORT,3175,,,U4,SubstIDWFHVGEMBehavior,1 = Issue ProceedWithSubstrate 2 = Issue CancelSubstrate 3 = Issue CancelSubstrate and Cancel Lot(PJ) 4 = Issue CancelSubstrate and abort,ECV,U1,return $varvalue,2,,,1,4,
GEMPORT,3180,,,U4,SubstIDNum,Contentmap number of substrate ID 1 = One 2=Two,ECV,U1,return $varvalue,2,,,1,2,
GEMPORT,3185,,,U4,SubstIDFwd,Only for 3180=2 SubstID Forwarding Format 1 = TWO SubstID 2 = 1st SubstID 3 = 2nd SubsID,ECV,U1,return $varvalue,3,,,1,3,
GEMPORT,874,,,U4,MaxSpoolTransmit,Max number of spooled msgs per S6F23 reply; 0 = no limit,ECV,U4,return $varvalue,0,,,0,32000,0,
GEMPORT,875,,,U4,SpoolMax,Max number of messages that can be spooled at one time.,ECV,U4,return $varvalue,10000,,,0,100000,10000,
GEMPORT,876,,,U4,OverWriteSpool,True = buffer the spooler circularly; False = stop buffering when spooler is full,ECV,TF,return $varvalue,0,,,0,1,0,
GEMPORT,5101,,,U4,USER_001,User value 001,ECV,A,return $varvalue,,,,,,,
GEMPORT,5102,,,U4,USER_002,User value 002,ECV,A,return $varvalue,,,,,,,
