alarms
spname,ALID,eqname,eqALID,idTSN,setCEID,clearCEID,category,isEnabled,isSet,ALTX
GEMPORT,16787217,GEMPROBER,16777217,U4,0,0,0,1,0,STAGE MOTOR SPEED SETTING ERROR
GEMPORT,16787218,GEMPROBER,16777218,U4,0,0,0,1,0,STAGE MOTOR ERROR
GEMPORT,16787219,GEMPROBER,16777219,U4,0,0,0,1,0,STAGE MOTOR ERROR
GEMPORT,16787220,GEMPROBER,16777220,U4,0,0,0,1,0,XYZ AXES MOTOR ERROR
GEMPORT,16787221,GEMPROBER,16777221,U4,0,0,0,1,0,XYZT AXES MOTOR ERROR
GEMPORT,16787222,GEMPROBER,16777222,U4,0,0,0,1,0,STAGE INITIALIZATION ERROR
GEMPORT,16787226,GEMPROBER,16777226,U4,0,0,0,1,0,X AXIS SERVO PACK ERROR
GEMPORT,16787227,GEMPROBER,16777227,U4,0,0,0,1,0,X AXIS INITIAL PROCESSING ERROR
GEMPORT,16787228,GEMPROBER,16777228,U4,0,0,0,1,0,X AXIS DRIVE PULSE DOES NOT MATCH
GEMPORT,16787229,GEMPROBER,16777229,U4,0,0,0,1,0,X AXIS TIME OUT ERROR
GEMPORT,16787230,GEMPROBER,16777230,U4,0,0,0,1,0,X AXIS MOTOR DRIVER ERROR
GEMPORT,16787231,GEMPROBER,16777231,U4,0,0,0,1,0,X MOTOR ENCODER ERROR
GEMPORT,16787232,GEMPROBER,16777232,U4,0,0,0,1,0,X AXIS SERVO MOTOR COMMUNICATION ERROR
GEMPORT,16787233,GEMPROBER,16777233,U4,0,0,0,1,0,X AXIS ENCODER ABSOLUTE POSITION ERROR
GEMPORT,16787246,GEMPROBER,16777246,U4,0,0,0,1,0,Y AXIS SERVO PACK ERROR
GEMPORT,16787247,GEMPROBER,16777247,U4,0,0,0,1,0,Y AXIS INITIAL PROCESSING ERROR
GEMPORT,16787248,GEMPROBER,16777248,U4,0,0,0,1,0,Y AXIS DRIVER PULSE DOES NOT MATCH
GEMPORT,16787249,GEMPROBER,16777249,U4,0,0,0,1,0,Y AXIS TIME OUT ERROR
GEMPORT,16787250,GEMPROBER,16777250,U4,0,0,0,1,0,Y AXIS MOTOR DRIVER ERROR
GEMPORT,16787251,GEMPROBER,16777251,U4,0,0,0,1,0,Y MOTOR ENCODER ERROR
GEMPORT,16787252,GEMPROBER,16777252,U4,0,0,0,1,0,Y AXIS SERVO MOTOR COMMUNICATION ERROR
GEMPORT,16787253,GEMPROBER,16777253,U4,0,0,0,1,0,Y AXIS ENCODER ABSOLUTE POSITION ERROR
GEMPORT,16787266,GEMPROBER,16777266,U4,0,0,0,1,0,Z AXIS MOTOR DRIVER ENCODER ERROR
GEMPORT,16787267,GEMPROBER,16777267,U4,0,0,0,1,0,Z AXIS INITIAL PROCESSING ERROR
GEMPORT,16787268,GEMPROBER,16777268,U4,0,0,0,1,0,Z AXIS DRIVE PULSE DOES NOT MATCH
GEMPORT,16787269,GEMPROBER,16777269,U4,0,0,0,1,0,Z AXIS TIME OUT ERROR
GEMPORT,16787270,GEMPROBER,16777270,U4,0,0,0,1,0,Z AXIS MOTOR DRIVER ERROR
GEMPORT,16787271,GEMPROBER,16777271,U4,0,0,0,1,0,Z AXIS ENCODER ABSOLUTE POSITION ERROR
GEMPORT,16787272,GEMPROBER,16777272,U4,0,0,0,1,0,Z AXIS ENCODER ABSOLUTE POSITION ERROR
GEMPORT,16787273,GEMPROBER,16777273,U4,0,0,0,1,0,Z AXIS INITIAL SENSOR ERROR
GEMPORT,16787274,GEMPROBER,16777274,U4,0,0,0,1,0,Z AXIS INITIAL SENSOR LOGIC NON­CONFORMITY ERROR
GEMPORT,16787275,GEMPROBER,16777275,U4,0,0,0,1,0,Z AXIS INTERLOCK ERROR
GEMPORT,16787286,GEMPROBER,16777286,U4,0,0,0,1,0,q AXIS MOTOR ENCODER ERROR
GEMPORT,16787287,GEMPROBER,16777287,U4,0,0,0,1,0,q AXIS INITIAL PROCESSING ERROR
GEMPORT,16787288,GEMPROBER,16777288,U4,0,0,0,1,0,q AXIS DRIVE PULSE DOES NOT MATCH
GEMPORT,16787289,GEMPROBER,16777289,U4,0,0,0,1,0,q AXIS TIME OUT ERROR
GEMPORT,16787290,GEMPROBER,16777290,U4,0,0,0,1,0,q AXIS MOTOR DRIVER ERROR
GEMPORT,16787291,GEMPROBER,16777291,U4,0,0,0,1,0,3 PIN UP SENSOR ERROR
GEMPORT,16787316,GEMPROBER,16777316,U4,0,0,0,1,0,NEEDLE POLISHER DOWN SENSOR ERROR (DOES NOT TURN ON)
GEMPORT,16787317,GEMPROBER,16777317,U4,0,0,0,1,0,UPPER/LOWER CAMERA POSITIONING TARGET SENSOR ERROR (BOTH SENSORS
GEMPORT,16787318,GEMPROBER,16777318,U4,0,0,0,1,0,UPPER/LOWER CAMERA POSITIONING TARGET DOWN SENSOR ERROR
GEMPORT,16787319,GEMPROBER,16777319,U4,0,0,0,1,0,BRIDGE LOCK SENSOR ERROR
GEMPORT,16787320,GEMPROBER,16777320,U4,0,0,0,1,0,BRIDGE LIMIT SENSOR ERROR
GEMPORT,16787321,GEMPROBER,16777321,U4,0,0,0,1,0,VACUUM SENSOR ERROR (NOT COMPLETELY OFF)
GEMPORT,16787322,GEMPROBER,16777322,U4,0,0,0,1,0,VACUUM SENSOR ERROR (NOT COMPLETELY ON)
GEMPORT,16787323,GEMPROBER,16777323,U4,0,0,0,1,0,VACUUM SENSOR ERROR (DOES NOT TURN OFF)
GEMPORT,16787324,GEMPROBER,16777324,U4,0,0,0,1,0,PROBE POLISHER DOWN SENSOR ERROR (DOES NOT TURN OFF)
GEMPORT,16787325,GEMPROBER,16777325,U4,0,0,0,1,0,UPPER/LOWER CAMERA POSITIONING TARGET UP SENSOR ERROR
GEMPORT,16787336,GEMPROBER,16777336,U4,0,0,0,1,0,BRIDGE ESCAPE LIMIT SENSOR ERROR
GEMPORT,16787337,GEMPROBER,16777337,U4,0,0,0,1,0,BRIDGE CENTER LIMIT SENSOR ERROR
GEMPORT,16787338,GEMPROBER,16777338,U4,0,0,0,1,0,BRIDGE LOCK DOWN SENSOR ERROR
GEMPORT,16787339,GEMPROBER,16777339,U4,0,0,0,1,0,RING DOWN EXECUTION ERROR
GEMPORT,16787340,GEMPROBER,16777340,U4,0,0,0,1,0,RING UP EXECUTION ERROR
GEMPORT,16787341,GEMPROBER,16777341,U4,0,0,0,1,0,TEST HEAD OPEN ERROR
GEMPORT,16787342,GEMPROBER,16777342,U4,0,0,0,1,0,RING OPEN WAS DETECTED
GEMPORT,16787343,GEMPROBER,16777343,U4,0,0,0,1,0,CANNOT EXECUTE RING OPEN
GEMPORT,16787344,GEMPROBER,16777344,U4,0,0,0,1,0,CANNOT EXECUTE RING CLOSE
GEMPORT,16787345,GEMPROBER,16777345,U4,0,0,0,1,0,THE POLISHER VACUUM SENSOR TURNED OFF PART WAY
GEMPORT,16787346,GEMPROBER,16777346,U4,0,0,0,1,0,THE POLISHER VACUUM SENSOR WONT TURN ON
GEMPORT,16787347,GEMPROBER,16777347,U4,0,0,0,1,0,THE POLISHER VACUUM SENSOR WONT TURN OFF
GEMPORT,16787348,GEMPROBER,16777348,U4,0,0,0,1,0,CANNOT TURN ON THE AIR BEARING VACUUM SENSOR
GEMPORT,16787349,GEMPROBER,16777349,U4,0,0,0,1,0,CANNOT TURN OFF THE AIR BEARING VACUUM SENSOR
GEMPORT,16787350,GEMPROBER,16777350,U4,0,0,0,1,0,THE WAPP LOCK SENSOR IS NOT TURNED ON
GEMPORT,16787351,GEMPROBER,16777351,U4,0,0,0,1,0,THE WAPP LOCK SENSOR IS NOT TURNED OFF
GEMPORT,16787416,GEMPROBER,16777416,U4,0,0,0,1,0,IMAGE RECOGNITION DEVICE (MAGIC) COMMUNICATION ERROR
GEMPORT,16787417,GEMPROBER,16777417,U4,0,0,0,1,0,A PARAMETER ERROR OCCURRED WITH THE IP BOARD
GEMPORT,16787816,GEMPROBER,16777816,U4,0,0,0,1,0,UNDEFINED PARAMETER RECEIVED
GEMPORT,16787817,GEMPROBER,16777817,U4,0,0,0,1,0,HEAD PLATE IS OPEN
GEMPORT,16787818,GEMPROBER,16777818,U4,0,0,0,1,0,SOLENOID DRIVE ESCAPE OPERATION NOT POSSIBLE
GEMPORT,16787819,GEMPROBER,16777819,U4,0,0,0,1,0,MARKER ARM Z POSITION ERROR
GEMPORT,16787820,GEMPROBER,16777820,U4,0,0,0,1,0,MARKER ARM HOME POSITION ERROR
GEMPORT,16787821,GEMPROBER,16777821,U4,0,0,0,1,0,MARKER ARM LOCK ERROR
GEMPORT,16787822,GEMPROBER,16777822,U4,0,0,0,1,0,MARKER ARM REVOLUTION ERROR (LOAD)
GEMPORT,16787823,GEMPROBER,16777823,U4,0,0,0,1,0,MARKER ARM REVOLUTION ERROR (UNLOAD)
GEMPORT,16787824,GEMPROBER,16777824,U4,0,0,0,1,0,CANNOT RELEASE THE MECHANISM RELATED TO THE INKER ARM.
GEMPORT,16787825,GEMPROBER,16777825,U4,0,0,0,1,0,AIR PRESSURE DECREASE DETECTED
GEMPORT,16787826,GEMPROBER,16777826,U4,0,0,0,1,0,VACUUM AIR PRESSURE DECREASE DETECTED
GEMPORT,16787827,GEMPROBER,16777827,U4,0,0,0,1,0,SACC INITIALIZE ERROR
GEMPORT,16787828,GEMPROBER,16777828,U4,0,0,0,1,0,MARKER ARM INITIALIZE ERROR
GEMPORT,16787829,GEMPROBER,16777829,U4,0,0,0,1,0,SACC LOCK ERROR
GEMPORT,16787830,GEMPROBER,16777830,U4,0,0,0,1,0,SACC Z DOWN ERROR
GEMPORT,16787831,GEMPROBER,16777831,U4,0,0,0,1,0,SACC UNLOAD ERROR
GEMPORT,16787832,GEMPROBER,16777832,U4,0,0,0,1,0,INKER ARM SENSOR ERROR
GEMPORT,16787833,GEMPROBER,16777833,U4,0,0,0,1,0,SACC COVER OPEN ERROR
GEMPORT,16787836,GEMPROBER,16777836,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787837,GEMPROBER,16777837,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787838,GEMPROBER,16777838,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787839,GEMPROBER,16777839,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787840,GEMPROBER,16777840,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787841,GEMPROBER,16777841,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787842,GEMPROBER,16777842,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787843,GEMPROBER,16777843,U4,0,0,0,1,0,A SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787844,GEMPROBER,16777844,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787845,GEMPROBER,16777845,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787846,GEMPROBER,16777846,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787847,GEMPROBER,16777847,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787848,GEMPROBER,16777848,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787849,GEMPROBER,16777849,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787850,GEMPROBER,16777850,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787851,GEMPROBER,16777851,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787852,GEMPROBER,16777852,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787853,GEMPROBER,16777853,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787854,GEMPROBER,16777854,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787855,GEMPROBER,16777855,U4,0,0,0,1,0,SOFTWARE INTERLOCK OCCURRED
GEMPORT,16787866,GEMPROBER,16777866,U4,0,0,0,1,0,OPTION SETTING ERROR
GEMPORT,16787867,GEMPROBER,16777867,U4,0,0,0,1,0,AUTO HF ERROR STATUS DETECTED
GEMPORT,16787876,GEMPROBER,16777876,U4,0,0,0,1,0,VACUUM AIR MAIN PRESSURE ERROR
GEMPORT,16787877,GEMPROBER,16777877,U4,0,0,0,1,0,AIR MAIN PRESSURE ERROR
GEMPORT,16787916,GEMPROBER,16777916,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787917,GEMPROBER,16777917,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787918,GEMPROBER,16777918,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787919,GEMPROBER,16777919,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787920,GEMPROBER,16777920,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787921,GEMPROBER,16777921,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787922,GEMPROBER,16777922,U4,0,0,0,1,0,MARKER DRIVER DEFECT
GEMPORT,16787923,GEMPROBER,16777923,U4,0,0,0,1,0,MARKER MOVEMENT TIME OUT ERROR
GEMPORT,16787946,GEMPROBER,16777946,U4,0,0,0,1,0,PROBE CAMERA ILLUMINATION SETTING ERROR
GEMPORT,16788016,GEMPROBER,16778016,U4,0,0,0,1,0,STAGE TIMER ERROR
GEMPORT,16788026,GEMPROBER,16778026,U4,0,0,0,1,0,BRIDGE DRIVE ERROR
GEMPORT,16788027,GEMPROBER,16778027,U4,0,0,0,1,0,BRIDGE DRIVE ERROR
GEMPORT,16788028,GEMPROBER,16778028,U4,0,0,0,1,0,TARGET DRIVE ERROR
GEMPORT,16788029,GEMPROBER,16778029,U4,0,0,0,1,0,TARGET DRIVE ERROR
GEMPORT,16788030,GEMPROBER,16778030,U4,0,0,0,1,0,INKER ARM DRIVE ERROR
GEMPORT,16788031,GEMPROBER,16778031,U4,0,0,0,1,0,INKER ARM DRIVE ERROR
GEMPORT,16788032,GEMPROBER,16778032,U4,0,0,0,1,0,BRIDGE DRIVE ERROR
GEMPORT,16788066,GEMPROBER,16778066,U4,0,0,0,1,0,SURFACE MAP ERROR
GEMPORT,16788067,GEMPROBER,16778067,U4,0,0,0,1,0,WAFER MACRO­ALIGNMENT FAILURE
GEMPORT,16788068,GEMPROBER,16778068,U4,0,0,0,1,0,CANNOT MOVE TO PROBE ALIGNMENT POSITION
GEMPORT,16788069,GEMPROBER,16778069,U4,0,0,0,1,0,TARGET MARK COULD NOT BE RECOGNIZED BY THE PROBE CAMERA
GEMPORT,16788070,GEMPROBER,16778070,U4,0,0,0,1,0,THE BRIDGE CAMERA COULD NOT FOCUS ON THE TARGET
GEMPORT,16788071,GEMPROBER,16778071,U4,0,0,0,1,0,THE BRIDGE CAMERA COULD NOT RECOGNIZE THE TARGET
GEMPORT,16788073,GEMPROBER,16778073,U4,0,0,0,1,0,CARD Z DIFFERENCE ERROR
GEMPORT,16788074,GEMPROBER,16778074,U4,0,0,0,1,0,TARGET HOLE CHECK ERROR
GEMPORT,16788075,GEMPROBER,16778075,U4,0,0,0,1,0,CONTACT HEIGHT EXCEEDED THE PROBE WAFER OBSTRUCTION LIMIT
GEMPORT,16788076,GEMPROBER,16778076,U4,0,0,0,1,0,PERPENDICULAR CUMULATIVE COEFFICIENT VALUE IS INCORRECT
GEMPORT,16788116,GEMPROBER,16778116,U4,0,0,0,1,0,FILE OPEN ERROR
GEMPORT,16788117,GEMPROBER,16778117,U4,0,0,0,1,0,FILE CLOSE ERROR
GEMPORT,16788118,GEMPROBER,16778118,U4,0,0,0,1,0,FILE WRITE ERROR
GEMPORT,16788119,GEMPROBER,16778119,U4,0,0,0,1,0,FILE READ ERROR
GEMPORT,16788120,GEMPROBER,16778120,U4,0,0,0,1,0,FILE NAME SETTING MISTAKE
GEMPORT,16788121,GEMPROBER,16778121,U4,0,0,0,1,0,FILE SEARCH ERROR
GEMPORT,16788122,GEMPROBER,16778122,U4,0,0,0,1,0,FILE OPERATION ERROR
GEMPORT,16788123,GEMPROBER,16778123,U4,0,0,0,1,0,WAFER PATTERN DATA DOWNLOAD ERROR
GEMPORT,16788124,GEMPROBER,16778124,U4,0,0,0,1,0,PROBER PATTERN DATA DOWNLOAD ERROR
GEMPORT,16788136,GEMPROBER,16778136,U4,0,0,0,1,0,COMMUNICATION MESSAGE ERROR
GEMPORT,16788137,GEMPROBER,16778137,U4,0,0,0,1,0,TASK OPERATION ERROR
GEMPORT,16788138,GEMPROBER,16778138,U4,0,0,0,1,0,CONFIRMED AN ERROR WITH THE MOTOR CONTROLLER BOARD
GEMPORT,16788139,GEMPROBER,16778139,U4,0,0,0,1,0,INTERRUPT SETUP ERROR
GEMPORT,16788140,GEMPROBER,16778140,U4,0,0,0,1,0,TASK RESTART ERROR
GEMPORT,16788141,GEMPROBER,16778141,U4,0,0,0,1,0,IP RESET ERROR
GEMPORT,16788142,GEMPROBER,16778142,U4,0,0,0,1,0,IP UNIT DOWN
GEMPORT,16788143,GEMPROBER,16778143,U4,0,0,0,1,0,A STAGE MOTOR INITIALIZATION ERROR OCCURRED (SETUP)
GEMPORT,16788144,GEMPROBER,16778144,U4,0,0,0,1,0,A STAGE MOTOR INITIALIZATION ERROR OCCURRED (SETUP)
GEMPORT,16788145,GEMPROBER,16778145,U4,0,0,0,1,0,AN INTERRUPT PROCESSING ERROR OCCURRED
GEMPORT,16788146,GEMPROBER,16778146,U4,0,0,0,1,0,AN UNDEFINED ERROR CODE OCCURRED
GEMPORT,16788147,GEMPROBER,16778147,U4,0,0,0,1,0,A STAGE DRIVE ERROR OCCURRED
GEMPORT,16788166,GEMPROBER,16778166,U4,0,0,0,1,0,A MESSAGE COMMUNICATION ERROR OCCURRED
GEMPORT,16788167,GEMPROBER,16778167,U4,0,0,0,1,0,Z CONTACT DRIVE/Z UP NOT POSSIBLE BECAUSE 3 PIN IS PROTRUDING
GEMPORT,16788168,GEMPROBER,16778168,U4,0,0,0,1,0,THE STAGE IS NOT INITIALIZED. INITIALIZE IT
GEMPORT,16789217,GEMPROBER,16779217,U4,0,0,0,1,0,UNDEFINED LOADER ERROR
