transitions,,,,,,
type,message,stateModel,currentState,newState,preFunction,postState
ALARM,,Equip,ALARMPAUSED,ALARMPAUSED,,
ALARM,,Equip,CHECKING,ALARMPAUSED,,
ALARM,,Equip,IDLENOTREADY,IDLEWITHALARMS,,
ALARM,,Equip,IDLEREADY,IDLEWITHALARMS,,
ALARM,,Equip,IDLEWITHALARMS,IDLEWITHALARMS,,
ALARM,,Equip,INIT,IDLEWITHALARMS,,
ALARM,,Equip,PAUSED,ALARMPAUSED,,
ALARM,,Equip,PAUSING,ALARMPAUSED,,
ALARM,,Equip,PROCESSING,ALARMPAUSED,,
ALARM,,Equip,WORKSTATIONREADY,IDLEWITHALARMS,,
PA,ReserveAtPort,Reservation,NOTRESERVED,RESERVED,,
PA,CancelReservationAtPort,Reservation,RESERVED,NOTRESERVED,,
CA,Bind,Association,NOTASSOCIATED,ASSOCIATED,,
CA,Bind,Reservation,NOTRESERVED,RESERVED,,
CA,CancelBind,Association,ASSOCIATED,NOTASSOCIATED,,
CA,CancelBind,Reservation,RESERVED,NOTRESERVED,,
CA,ProceedWithCarrier,CarrierAccess,NOTACCESSED,INACCESS,,
CA,ProceedWithCarrier,CarrierAccess,INACCESS,INACCESS,,
CA,CarrierReCreate,Port,RELEASED,STANDBY,,
CA,CarrierReCreate,Port,STANDBY,STANDBY,,
CEID,JobCreated,Job,BUILDING,PRESENT,,JobStart CEID
CEID,JobCreated,Job,CANCELLING,CANCELLING,,JobCancelCreate
CEID,JobCreated,Job,EMPTY,PRESENT,,JobStart CEID
CEID,JobCancel,Job,CANCELLING,EMPTY,,
CEID,JobCancel,Job,PRESENT,EMPTY,,
CEID,JobStarted,Job,PRESENT,STARTED,,
CEID,JobComplete,Job,STARTED,EMPTY,,
CEID,EndStopping,Job,EMPTY,EMPTY,,
CEID,EndStopping,Job,BUILDING,EMPTY,,
CEID,EndStopping,Job,CANCELLING,EMPTY,,
CEID,EndStopping,Job,PRESENT,EMPTY,,
CEID,EndStopping,Job,STARTED,EMPTY,,
CEID,ReadyToLoad,Port,STANDBY,STANDBY,,
CEID,ReadyToLoad,Port,RELEASED,STANDBY,,
CEID,ReadyToLoad,Association,ASSOCIATED,NOTASSOCIATED,,
CEID,ReadyToLoad,Association,NOTASSOCIATED,NOTASSOCIATED,,
CEID,ReadyToLoad,Reservation,RESERVED,NOTRESERVED,,
CEID,ReadyToLoad,Reservation,NOTRESERVED,NOTRESERVED,,
CEID,ReadyToUnload,Port,RELEASING,RELEASED,,ClearPortVariables
CEID,ReadyToUnload,Port,STANDBY,STANDBY,,ClearPortVariables
CEID,CarrierIDEqVerifyOK,Association,NOTASSOCIATED,ASSOCIATED,,
CEID,CarrierIDEqVerifyOK,Association,ASSOCIATED,ASSOCIATED,,
CEID,CarrierIDEqVerifyOK,CarrierID,IDNOTREAD,IDVERIFICATIONOK,,
CEID,CarrierIDEqVerifyOK,CarrierID,IDWAITINGFORHOST,IDVERIFICATIONOK,,
CEID,CarrierIDEqVerifyOK,Reservation,RESERVED,NOTRESERVED,,
CEID,CarrierIDEqVerifyOK,Reservation,NOTRESERVED,NOTRESERVED,,
CEID,CarrierIDHostVerifyWait,Association,NOTASSOCIATED,ASSOCIATED,,
CEID,CarrierIDHostVerifyWait,Association,ASSOCIATED,ASSOCIATED,,
CEID,CarrierIDHostVerifyWait,CarrierID,NONE,NONE,,
CEID,CarrierIDHostVerifyWait,CarrierID,IDNOTREAD,IDWAITINGFORHOST,,
CEID,CarrierIDHostVerifyWait,Reservation,RESERVED,NOTRESERVED,,
CEID,CarrierIDHostVerifyWait,Reservation,NOTRESERVED,NOTRESERVED
CEID,CarrierIDVerificationOK,CarrierID,IDNOTREAD,IDVERIFICATIONOK
CEID,CarrierIDVerificationOK,CarrierID,IDWAITINGFORHOST,IDVERIFICATIONOK
CEID,CarrierIDVerificationFail,CarrierID,IDNOTREAD,IDVERIFICATIONFAILED
CEID,CarrierIDVerificationFail,CarrierID,IDWAITINGFORHOST,IDVERIFICATIONFAILED
CEID,CarrierIDVerificationFail,CarrierID,NONE,NONE
CEID,SlotEqVerifyOK,Association,NOTASSOCIATED,ASSOCIATED
CEID,SlotEqVerifyOK,Association,ASSOCIATED,ASSOCIATED
CEID,SlotEqVerifyOK,Reservation,RESERVED,NOTRESERVED
CEID,SlotEqVerifyOK,Reservation,NOTRESERVED,NOTRESERVED
CEID,SlotEqVerifyOK,SlotMap,SLOTMAPNOTREAD,SLOTMAPVERIFICATIONOK
CEID,SlotMapWaitingForHost,Association,NOTASSOCIATED,ASSOCIATED
CEID,SlotMapWaitingForHost,Association,ASSOCIATED,ASSOCIATED
CEID,SlotMapWaitingForHost,Reservation,RESERVED,NOTRESERVED
CEID,SlotMapWaitingForHost,Reservation,NOTRESERVED,NOTRESERVED
CEID,SlotMapWaitingForHost,SlotMap,SLOTMAPNOTREAD,SLOTMAPWAITINGFORHOST
CEID,SlotMapVerifyOK,SlotMap,SLOTMAPNOTREAD,SLOTMAPVERIFICATIONOK
CEID,SlotMapVerifyOK,SlotMap,SLOTMAPWAITINGFORHOST,SLOTMAPVERIFICATIONOK
CEID,SlotMapVerifyFail,SlotMap,SLOTMAPNOTREAD,SLOTMAPVERIFICATIONFAILED
CEID,SlotMapVerifyFail,SlotMap,SLOTMAPWAITINGFORHOST,SLOTMAPVERIFICATIONFAILED
CEID,CarrierAccessInAccess,CarrierAccess,INACCESS,INACCESS
CEID,CarrierAccessInAccess,CarrierAccess,NOTACCESSED,INACCESS
CEID,CarrierAccessInAccess,Association,NOTASSOCIATED,ASSOCIATED
CEID,CarrierAccessInAccess,Association,ASSOCIATED,ASSOCIATED
CEID,CarrierAccessInAccess,Reservation,RESERVED,NOTRESERVED
CEID,CarrierAccessInAccess,Reservation,NOTRESERVED,NOTRESERVED
CEID,CarrierAccessComplete,CarrierAccess,INACCESS,CARRIERCOMPLETE
CEID,CarrierAccessStopped,CarrierAccess,INACCESS,CARRIERSTOPPED
CEID,CarrierObjectTerminated,Association,ASSOCIATED,NOTASSOCIATED
CEID,CarrierObjectTerminated,Association,NOTASSOCIATED,NOTASSOCIATED
CMD,ABORT,Equip,IDLEREADY,IDLEREADY
CMD,ABORT,Equip,ALARMPAUSED,ABORTING
CMD,ABORT,Equip,CHECKING,ABORTING
CMD,ABORT,Equip,PAUSED,ABORTING
CMD,ABORT,Equip,PAUSING,ABORTING
CMD,ABORT,Equip,PROCESSING,ABORTING
CMD,ABORT,Equip,STOPPING,ABORTING
CMD,ABORT,Job,BUILDING,CANCELLING
CMD,CANCEL-MEAS,Port,REREADY,REREADY
CMD,CANCEL-MEAS,Port,READY,READY
CMD,CHANGE-OCR-STATE,Port,DIEEND,DIEEND
CMD,CHANGE-OCR-STATE,Port,DIESTART,DIESTART
CMD,CHANGE-OCR-STATE,Port,LOTCOMPLETE,LOTCOMPLETE
CMD,CHANGE-OCR-STATE,Port,LOTSTART,LOTSTART
CMD,CHANGE-OCR-STATE,Port,PENDINGCLOSE,PENDINGCOMPLETE
