variables,,,,,,,,,,,,,,,,
spname,varID,eqname,eqvarID,idTSN,varname,description,varclass,valueTSN,varmethod,varvalue,tLatest,units,ECMIN,ECMAX,ECDEF,eqVarname
GEMPORT,3000,,,U4,AnnotateEventReports,Determines whether the equipment uses S6F11 or S6F13 for event reporting.(1=S6F13  0=S6F11.,ECV,TF,return $varvalue,1,,,0,1,1, 
GEMPORT,3010,,,U4,DateTimeRequestPeriod,Determines the frequency of the heartbeat message (S1F1 in seconds.  0=never.,ECV,U2,return $varvalue,0,,s,0,32767,0, 
GEMPORT,3020,,,U4,EstablishCommStream,Determines whether S1F1 or S1F13 will be used for establishing communications.  1=S1F13; 0=S1F1.,ECV,TF,return $varvalue,1,,,0,1,1, 
GEMPORT,3030,,,U4,EstablishCommunicationsTimeout,Contains the time  in seconds to wait when attempting to establish communications with the host.,ECV,U2,return $varvalue,30,,s,10,32767,, 
GEMPORT,3040,,,U4,HSMSConnectMode,Whether to establish the TCP/IP socket session when opening the hsms session.  ACTIVE (communicate with existing session or PASSIVE (create new session.,ECV,A,return $varvalue,PASSIVE,,,,,PASSIVE, 
GEMPORT,3050,,,U4,IPAddressPort,If HSMSConnectMode is PASSIVE the port on which the TCP/IP socket session will be established.  If HSMSConnectMode is ACTIVE  the host and port to connect to in the format hostname:portnumber.,ECV,A,return $varvalue,5555,,,,,, 
GEMPORT,3060,,,U4,SpoolWhenNoComm,Whether to turn on spooling when there is no host communication.  1=turn on spooling; 0=no spooling.,ECV,TF,return $varvalue,0,,0,0,0,0, 
GEMPORT,3070,,,U4,T3,Reply timeout.,ECV,A,return $varvalue,45,,s,1,120,45, 
GEMPORT,3080,,,U4,T5,Connect separation timeout.,ECV,A,return $varvalue,10,,s,1,240,10, 
GEMPORT,3090,,,U4,T6,Control transaction timeout.,ECV,A,return $varvalue,10,,s,1,240,5, 
GEMPORT,3100,,,U4,T7,NOT SELECTED timeout.,ECV,A,return $varvalue,10,,s,1,240,10, 
GEMPORT,3110,,,U4,T8,Network inter-character timeout.,ECV,A,return $varvalue,5,,s,1,120,5, 
GEMPORT,3120,,,U4,TestSiteInterval,ID of each virtual configuration.  Like sampling  report every nth part.,ECV,U4,return $varvalue,0,,,,,, 
GEMPORT,3130,,,U4,TimeFormat,0==YYMMDDhhmmss  1==YYYYMMDDhhmmsscc in S2F18  S2F31 S6F1.,ECV,U1,return $varvalue,1,,,0,,, 
