triggers,,,,,,,,,,,,,
triggerType,triggerValue,buttonOrder,verifyProc,preProc,postUpdate,postProc,errorPreProc,errorPostUpdate,errorPostProc,testerCommand,proberCommand,validationFlag,changeFlag
ALARM,,,,,,,,,,,,,
EVENT,Aborted,,,,,,,,,,,,
EVENT,AlarmCleared,,,PostAlarmCleared Tester,,,,,,,,,
EVENT,DieEnd,,,,,,,,,,,,
EVENT,DieStart,,,,,,,,,,,,
EVENT,IdleNotReady,,,,,,,,,,,,
EVENT,IdleReady,,,,,,,,,,,,
EVENT,InitComplete,,,,,,,,,,,,
EVENT,LotCancel,,,,,,,,,,,,
EVENT,LotComplete,,,,,,,,,,,,
EVENT,LotFinish,,,,,,,,,,,,
EVENT,LotStart,,,,,,,,,,,,
EVENT,NEW-OCR-STATE,,,,,,,,,,,,
EVENT,PPBadCompile,,,,,,,,,,,,
EVENT,Paused,,,,,,,,,,,,
EVENT,PendingComplete,,,,,,,,,,,,
EVENT,ProberAlarmCleared,,,PostAlarmCleared Prober,,,,,,,,,
EVENT,ProberRecipe,,,,,,,,,,,,
EVENT,RecipeVerified,,,,,,,,,,,,
EVENT,Reset,,,,,,,,,,,,
EVENT,Resumed,,,,,,,,,,,,
EVENT,StartInit,,,,,,,,,,,,
EVENT,Stopped,,,,,,,,,,,,
EVENT,SubLotComplete,,,lmp_ResultOfLastSubLot,,,,,,,,,
EVENT,SubLotStart,,,,,,,,,,,,
EVENT,SystemIdle,,,,,,,,,,,,
CMD,ABORT,-1,,,,,,,,ABORT,,,A
CMD,CANCEL-MEAS,2,,,,,,,,CANCEL-MEAS,,,A
CMD,CHANGE-OCR-STATE,0,,,,,,,,CHANGE-OCR-STATE,,,A
CMD,CLOSE-LOT,4,,,,,,,,CLOSE-LOT,,,A
CMD,PAUSE,-4,,,,,,,,PAUSE,,,A
CMD,PP-SELECT,1,Validate_PPSelect,,PostLotStart,,,,,PP-SELECT,,,A
CMD,RESUME,-3,,,,,,,,RESUME,,,A
CMD,RETEST,5,,,PostLotStart,,,,,RETEST,,,A
CMD,RUN-CONTINUITY,6,,,,,,,,RUN-CONTINUITY,,,A
CMD,RUN-DIAGNOSTICS,7,,,,,,,,RUN-DIAGNOSTICS,,,A
CMD,START,3,,,,,,,,START,,,A
CMD,STOP,-2,,,,,,,,STOP,,,A
