variables,,,,,,,,,,,,,,,,
spname,varID,eqname,eqvarID,idTSN,varname,description,varclass,valueTSN,varmethod,varvalue,tLatest,units,ECMIN,ECMAX,ECDEF,eqVarname
GEMPORT,1000,,,U4,AlarmDetails,Details of the alarm in AlarmID  as passed up from the equipment.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1010,,,U4,AlarmID,The ALID of the alarm most recently sent to the host.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1020,,,U4,CarrierID,Identification of the most-recently handled FOUP.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1030,,,U4,ClassCnt,List of counts for all the classes defined for the equipment (e.g.GOOD BAD.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1040,,,U4,ClassID,List of bin classes on equipment.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1050,,,U4,ClassName,Name tag for high-level class information.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1060,,,U4,CurrentDieFileName,The location and name of the current/last die test result file written to disk.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1070,,,U4,CurrentWaferResultFile,The location and name of the current/last wafer test result file written to disk.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1080,,,U4,DatalogConfig,The file location to which processing data is written.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1090,,,U4,DeviceUnitID,Unit serial number of the device under test.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1100,,,U4,DieEndTime,YYYYMMDDhhmmss.  The time the most-recent die test ended.  0 if no die in the current lot has completed and when no lot is in process.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1110,,,U4,DiePositionXUnderTest,The X position on the die of the most-recently reported test.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1120,,,U4,DiePositionYUnderTest,The Y position on the die of the most-recently reported test.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1130,,,U4,DieStartTime,YYYYMMDDhhmmss.  The time the most-recent die test started.  0 if no die in the current lot has been started and when no lot is in process.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1140,,,U4,DieSpecFileName,The list of die specification file names for the current test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1150,,,U4,DieTestSpecNames,The list of pairs of die file names and test file names for the current test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1160,,,U4,ECIDChangeName,The last equipment constant ECID,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1170,,,U4,EventText,A text description of the Collection Event most recently sent to the host.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1180,,,U4,EventLimit,The LIMITID(s of the limit reached by LimitVariable(s.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1190,,,U4,ExecutionCnt,Number of test executives since last reset for the current PPID and current lot at this test-site.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1200,,,U4,HardBinCnt,List of hard bins defined for the current test and the number of devices each contains.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1210,,,U4,HardBinID,List of test-site hard bin numbers for the current test.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1220,,,U4,HardBinName,List of Test-site hard bin names.  Same as 1200 unless hard bins have names as well as numbers.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1223,,,U4,JobState1,The current job state of port 1.,DVVAL,A,return $varvalue,EMPTY,,,,,, 
GEMPORT,1224,,,U4,JobState2,The current job state of port 2.,DVVAL,A,return $varvalue,EMPTY,,,,,, 
GEMPORT,1230,,,U4,LastDiePositionXTested,The X position tested immediately before the current test.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1240,,,U4,LastDiePositionYTested,The Y position tested immediately before the current test.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1250,,,U4,LastWaferIDTested,The wafer id tested immediately before the current test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1260,,,U4,LastWaferSlotTested,The wafer slot tested immediately before the current test.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1270,,,U4,LimitFileName,The limit file name for the last port reported.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1280,,,U4,LimitVariable,The VID of the variable whose value most recently changed monitoring zones.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1290,,,U4,LotEndTime,YYYYMMDDhhmmss. The time the most-recent lot ended.  0 if no lot has been started and while a lot is in process.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1300,,,U4,LotID,The identification of the lot currently under test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1310,,,U4,LotProcessingTime,hh:mm:ss  The time since the start of the current lot in seconds.  0 if no lot is in process.,DVVAL,A,SGI_getLotTime $spname,0,,,,,, 
GEMPORT,1320,,,U4,LotStartTime,YYYYMMDDhhmmss. The time the lot was started.  0 if no lot is in process.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1330,,,U4,LotUnitOutput,Hard bin output for a specific site by lot.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1340,,,U4,PendingCompleteTime,YYYYMMDDhhmmss.  The time the lot reached PENDINGCOMPLETE state.  0 if no lot has been started and while a lot is in process.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1350,,,U4,OperatorCommand,The last remote command issued from the Panel since the control_mode became REMOTE.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1360,,,U4,OperatorID,The identifier of the most-recently reported Operator.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1370,,,U4,PortID,The port associated with the most recent port activity.  1 or 2.,DVVAL,U1,return $varvalue,0,,,,,, 
GEMPORT,1380,,,U4,PPChangeName,The Process Program ID affected by the creation,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1390,,,U4,PPChangeStatus 1=create,The action taken on PPChangeName 2=edit 3=deleted.,DVVAL,U1,return $varvalue,0,,,,,, 
GEMPORT,1400,,,U4,PPExecName,The name of the current working process program.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1410,,,U4,ProbeCardTypeFound,Description of probe card type.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1420,,,U4,ProberRecipeFileName,The name of the Prober Recipe in use for the active lot.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1430,,,U4,ProbeSpecFileName,The name of the probe specification file in use for the active lot.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1440,,,U4,ProcessName,The name of the process in use for the active lot.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1450,,,U4,ProductID,The ID of the product for which the tester is currently configured.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1460,,,U4,RequiredProbeCardType,The type of probe card required to perform the current test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1470,,,U4,ResultOfLastDie,Pass(1 or Fail(0.,DVVAL,U1,return $varvalue,0,,,,,, 
GEMPORT,1480,,,U4,ResultOfLastSubLot,Pass(1 or Fail(0.,DVVAL,U1,return $varvalue,0,,,,,, 
GEMPORT,1490,,,U4,RetestWafers,List of wafers to be retested.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1500,,,U4,SiteContacts,List of number of contacts for each site on each head.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1510,,,U4,SoftBinCnt,List of soft bins defined for the current test and the number of devices each contains.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1520,,,U4,SoftBinID,List of test-site soft bin numbers.  Not relevant if soft bins are not enumerated.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1530,,,U4,SoftBinName,List of test-site soft bin names.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1540,,,U4,StartTestPortID,Start test source (e.g.hand keyboard  host.),DVVAL,A,return $varvalue,Local Management Panel,,,,,, 
GEMPORT,1550,,,U4,SubLotEndTime,YYYYMMDDhhmmss. The time the sublot ended.  0 if no lot is in process or no sublot has completed.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1560,,,U4,SubLotID,The sublot currently being processed.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1570,,,U4,SubLotStartTime,YYYYMMDDhhmmss. The time the sublot started.  0 if no lot is in process or no sublot has been started.,DVVAL,A,Format_time GEMPORT $varvalue,0,,,,,, 
GEMPORT,1580,,,U4,SubLotUnitOutput,The bin output for each site by sublot.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1600,,,U4,TestBoardSiteContacts,Number of contacts since last reset for each site on each head.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1610,,,U4,TestBoardSiteInserts,Insertion count on a test board site.  Specific to socket type sites.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1620,,,U4,TestBoardSiteStatus,Availability of each site on each Test board (1=enabled 0=disabled.  Related to remote commands DISABLE-SITE and ENABLE-SITE.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1630,,,U4,TestBoardStatus,Test board availability (1=enabled ,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1640,,,U4,TestFileDependentParameters,Last set of test file dependent parameters received.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1650,,,U4,TestPlanName,The name of the test plan associated with the current test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1660,,,U4,TestSpecFileName,The name of the test specification file for the current test.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1670,,,U4,TransitionType,The direction of limits zone transition.  (0=low to high 1=high to low.,DVVAL,B,return $varvalue,0,,,,,, 
GEMPORT,1680,,,U4,ValueOfLastDie,String containing various result values for the die.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1690,,,U4,ValueOfLastSubLot,String containing various result values for the sublot.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1700,,,U4,VirtualConfig,Current virtual configuration listing all virtual Ids.  Not applicable for current testers.,DVVAL,L,return $varvalue,,,,,,, 
GEMPORT,1710,,,U4,WaferList,The list of wafer ids being tested in the current lot.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1715,,,U4,WaferSlotMap,The list of slots containing wafers in the foup for the current lot.,DVVAL,A,return $varvalue,,,,,,, 
GEMPORT,1720,,,U4,WaferSlotUnderTest,The wafer slot currently being tested.,DVVAL,U4,return $varvalue,0,,,,,, 
GEMPORT,1730,,,U4,WaferSpecFileName,The name of the wafer specification file for the current test.,DVVAL,A,return $varvalue,,,,,,, 
