LMP_port_variables,,,
PortVarOrder,PortVarLabel,PortVarSV,PortVarClear
-1,,DatalogConfig,1
-1,,DieTestSpecNames,1
-1,,PPExecName,1
-1,,ProberRecipeFileName,1
-1,,ProcessName,1
-1,,RequiredProbeCardType,1
-1,,SubLotID,1
-1,,TestFileDependentParameters,1
-1,,TestPlanName,1
-1,,WaferList,1
-1,,WaferSlotMap,1
-1,,WaferSlotUnderTest,1
-1,,LotEndTime,1
-1,,LotStartTime,1
-1,,DieEndTime,1
-1,,DieStartTime,1
-1,,SubLotEndTime,1
-1,,SubLotStartTime,1
-1,,PendingCompleteTime,1
0,Port Status,PortStateName,0
1,Job Status,JobState,0
2,Association,PortAssociationStateName,0
3,Reservation,PortReservationStateName,0
4,Carrier ID,CarrierID,1
5,Lot ID,LotID,1
6,PJob ID,PJ_ObjID,1
7,PJob State,PJ_PRJobState,1
8,CJob ID,CJ_ObjID,1
9,CJob State,CJ_State,1
10,Test,TestSpecFileName,1
11,Probe,ProbeSpecFileName,1
12,Limit,LimitFileName,1
