alarms
spname,ALID,eqname,eqALID,idTSN,setCEID,clearCEID,category,isEnabled,isSet,ALTX
GEMPORT,7000,,,U4,7000,7001,0,1,0,CustomAlarm
GEMPORT,7002,,,U4,7002,7003,0,1,0,EquipNotResponding
GEMPORT,7006,,,U4,7006,7007,0,1,0,HWInitError
GEMPORT,7008,,,U4,7008,7009,0,1,0,OCRIDError
GEMPORT,7012,,,U4,7012,7013,0,1,0,ProberSetup
GEMPORT,7016,,,U4,7016,7017,0,1,0,WaferHandling
GEMPORT,7018,,,U4,7018,7019,0,1,0,DiagFail
GEMPORT,7020,,,U4,7020,7021,0,1,0,UnexpectedMaterial
GEMPORT,7100,,,U4,7100,7101,0,1,0,ProbecardAlarm
GEMPORT,7102,,,U4,7102,7103,0,1,0,ProbecardAlarm
GEMPORT,7104,,,U4,7104,7105,0,1,0,ProbecardAlarm
