events,,,,,,,
spname,CEID,eqname,eqCEID,idTSN,isReported,name,description
GEMPORT,4000,,,U4,1,Control State OFF-LINE,The Control State has become OFF-LINE.
GEMPORT,4001,,,U4,1,Control State LOCAL,The Control State has become LOCAL.
GEMPORT,4002,,,U4,1,Control State REMOTE,The Control State has become REMOTE.
GEMPORT,4015,,,U4,1,Operator Command Issued,The Operator has issued a command.
GEMPORT,4020,,,U4,1,Operator Equipment Constant Change,The Operator has changed an Equipment Constant.
GEMPORT,4080,,,U4,0,Spooling Activated,Spooling has been activated.
GEMPORT,4081,,,U4,1,Spooling Deactivated,Spooling has been deactivated.
GEMPORT,4083,,,U4,0,Spool Transmit Failure,There has been a failure while attempting to transmit spooled data.
GEMPORT,4100,,,U4,1,Terminal Services Operator Display Acknowledge,The operator has acknowledged a Terminal Services Display.
GEMPORT,5000,,,U4,1,WORKSTATIONREADY_TO_INIT,Initialization of the tester has begun.
GEMPORT,5001,,,U4,1,INIT_TO_IDLEREADY  ,All tester initialization is complete with no alarms or  error conditions. 
GEMPORT,5002,,,U4,1,IDLEREADY_TO_PROCESSING,The tester has received a PP-SELECT command.
GEMPORT,5006,,,U4,1,PROCESSING_TO_STOPPING,The tester has received a STOP command.
GEMPORT,5007,,,U4,1,PROCESSING_TO_ABORTING,An abort command has been received.
GEMPORT,5008,,,U4,1,PROCESSING_TO_ALARMPAUSED,An alarm has been reported by the prober or tester that requires feedback.
GEMPORT,5009,,,U4,1,PROCESSING_TO_PAUSING,The tester has received a PAUSE command.
GEMPORT,5011,,,U4,1,CHECKING_TO_PROCESSING,The tester has reported that processing has be resumed.
GEMPORT,5012,,,U4,1,STOPPING_TO_IDLEREADY,The tester cleanup is complete.
GEMPORT,5013,,,U4,1,PAUSE_TO_STOPPING,The tester has received a STOP command from the host  via S2F41 STOP.
GEMPORT,5014,,,U4,1,PAUSE_TO_ABORTING,The tester has received an ABORT command.
GEMPORT,5015,,,U4,1,STOPPING_TO_ABORTING,The tester has received an ABORT command.   Time spent in the ABORTING state is extremely brief before transitioning thru the ABORTED state to the IDLEREADY state.
GEMPORT,5016,,,U4,1,ABORTING_TO_ABORTED,The tester has reported that processing has been aborted.  ABORTED is always a pass-through state. Time spent in the ABORTED state is extremely brief before transitioning to the IDLEREADY state.
GEMPORT,5017,,,U4,1,ABORTED_TO_IDLEREADY,Used as a pass-through transition between ABORTING and IDLEREADY. 
GEMPORT,5018,,,U4,1,IDLE_TO_IDLEWITHALARMS,An alarm has been set by the tester or prober.
GEMPORT,5019,,,U4,1,IDLEWITHALARMS_TO_IDLE,All alarms have been cleared and no testing is in process.
GEMPORT,5020,,,U4,1,PAUSING_TO_PAUSED,The tester has reported that it has successfully paused its processing.
GEMPORT,5021,,,U4,1,PROCESSPAUSE_TO_ALARMPAUSED,An alarm has been set by the prober or tester.
GEMPORT,5022,,,U4,1,ALARMPAUSED_TO_PAUSED,All alarms have been cleared and the equipment has returned to its PAUSED state. 
GEMPORT,5033,,,U4,1,CHECKING_TO_PAUSED,The tester has returned to the paused state.
GEMPORT,5034,,,U4,1,PAUSED_TO_CHECKING,A RESUME command was received from the host via S2F41 RESUME.
GEMPORT,5035,,,U4,1,IDLE_TO_WORKSTATIONREADY,The tester executive has stopped.
GEMPORT,5036,,,U4,1,ABORTED_TO_WORKSTATIONREADY,The operator has aborted the tester executive.
GEMPORT,5037,,,U4,1,IDLEWITHALARMS_TO_WORKSTATIONREADY,An ABORT has been received from the host via S2F41 ABORT.   The tester will re-initialize while the host and VGEM continue running and communicating.
GEMPORT,5060,,,U4,1,PROCESSING_TO_IDLEREADY,Processing has completed on both ports. 
GEMPORT,5062,,,U4,1,IDLEREADY_TO_IDLENOTREADY,The tester has reported that it is in a state that allows continuity and  diagnostic tests.
GEMPORT,5063,,,U4,1,IDLENOTREADY_TO_IDLEREADY,Tester has completed continuity or diagnostic testing and has returned to normal processing state.
GEMPORT,5102,,,U4,1,STANDBY_TO_SETTINGUP,The host or operator has executed a PP-SELECT command.
GEMPORT,5103,,,U4,1,SETTINGUP_TO_READY,All PP-SELECT activity has completed and the tester is ready to receive a START command.
GEMPORT,5104,,,U4,1,READY_TO_STARTING,The host or operator has executed a START command.
GEMPORT,5106,,,U4,1,STOPPORTSTATE_TO_STANDBY,The tester has received an abort command.
GEMPORT,5107,,,U4,1,ABORTPORTSTATE_TO_STANDBY,The tester has received a stop command.
GEMPORT,5124,,,U4,1,SUBLOTCOMPLETE_TO_PENDINGCOMPLETE,The processing of the current lot has completed normally.  The lot may be retested or closed.
GEMPORT,5129,,,U4,1,READY_TO_STANDBY,Processing of the lot has been cancelled.
GEMPORT,5150,,,U4,1,LOTSTART_TO_SUBLOTSTART,A sublot is a wafer.   The tester has started operations to test a wafer.
GEMPORT,5151,,,U4,1,SUBLOTSTART_TO_DIESTART,Testing of the first die on the current sublot has begun.
GEMPORT,5152,,,U4,1,DIESTART_TO_DIEEND,Testing of a die on the current sublot has completed.
GEMPORT,5153,,,U4,1,DIEEND_TO_SUBLOTCOMPLETE,Testing of all dies on the current sublot has completed.
GEMPORT,5154,,,U4,1,DIEEND_TO_DIESTART,Testing of a subsequent die on the current sublot has begun.
GEMPORT,5155,,,U4,1,SUBLOTSTART_TO_SUBLOTCOMPLETE,Processing of the current wafer has been completed.
GEMPORT,5156,,,U4,1,SUBLOTCOMPLETE_TO_SUBLOTSTART,The next wafer in the foup is being started
GEMPORT,5157,,,U4,1,PENDINGCOMPLETE_TO_LOTCOMPLETE,The tester has reported the completion of the lot.
GEMPORT,5158,,,U4,1,PENDINGCOMPLETE_TO_RESETUP,The host or LMP executed a new PP-SELECT command.
GEMPORT,5161,,,U4,1,PENDINGCOMPLETE_TO_SUBLOTSTART,The host or operator has requested the RETEST of the lot.
GEMPORT,5164,,,U4,1,SETTINGUP_TO_STANDBY,The tester cannot compile the recipe for this wafer test.
GEMPORT,5165,,,U4,1,SUBLOTCOMPLETE_TO_LOTCOMPLETE,The tester has completed processing of the current lot.  LOTCOMPLETE is a pass thru state in this case.
GEMPORT,5171,,,U4,1,STARTING_TO_LOTSTART,The tester has reported that processing of the lot has started.
