parameters,,,,,,,
command,triggerType,order,pname,required,varProgram,proberPname,proberRequired
CANCEL-MEAS,CMD,1,PortID,1,,,
CHANGE-OCR-STATE,CMD,1,RequestedOCRState,1,,,
CLOSE-LOT,CMD,1,PortID,1,,,
EXTRACT-PROBER-RECIPE,CMD,1,PortID,1,,,
PP-SELECT,CMD,5,ProductID,1,,,
PP-SELECT,CMD,1,PortID,1,,,
PP-SELECT,CMD,-1,TestPlanName,0,,,
PP-SELECT,CMD,8,WaferList,1,return_wafer_list,,
PP-SELECT,CMD,-1,DieTestSpecNames,0,,,
PP-SELECT,CMD,-1,TestSpecFileName,0,,, 
PP-SELECT,CMD,-1,DieSpecFileName,0,,,
PP-SELECT,CMD,-1,WaferSpecFileName,0,,,
PP-SELECT,CMD,-1,LimitFileName,0,,,
#PP-SELECT,CMD,7,RecipeID_manual,0
PP-SELECT,CMD,3,LotID,1,,,
PP-SELECT,CMD,4,OperatorID,1,,,
PP-SELECT,CMD,6,PPExecName,1,,,
PP-SELECT,CMD,-1,ProbeSpecFileName,1,,,
PP-SELECT,CMD,-1,ProberRecipeFileName,1,,,
PP-SELECT,CMD,-1,IWCondition,0,,,
PP-SELECT,CMD,-2,IWNumOfDies,0,,,
PP-SELECT,CMD,-3,IWDieLabel,0,,,
PP-SELECT,CMD,-4,IWJudgeRule,0,,,
PP-SELECT,CMD,-5,IWJudgeTLevel,0,,,
PP-SELECT,CMD,-6,BWCondition,0,,,
PP-SELECT,CMD,-7,BWNumOfWafs,0,,,
PP-SELECT,CMD,-8,BWWafID,0,,,
PP-SELECT,CMD,-9,BWJudgeRule,0,,,
PP-SELECT,CMD,-10,BWJudgeTLevel,0,,,
PP-SELECT,CMD,-11,PJECondition,0,,,
PP-SELECT,CMD,-12,PJEJudgeRule,0,,,
PP-SELECT,CMD,-13,PJEJudgeTLevel,0,,,
PP-SELECT,CMD,-14,AdaptiveMethod,0,,,
PP-SELECT,CMD,-15,RecipeFName,0,,,
PP-SELECT,CMD,-16,TestCondFName,0,,,
PP-SELECT,CMD,-17,CondLevel,0,,,
PP-SELECT,CMD,-18,WaferTest,0,,,
PP-SELECT,CMD,-19,MeasLibName,0,,,
PP-SELECT,CMD,-20,DeviceLibName,0,,,
RETEST,CMD,1,PortID,1,,,
RETEST,CMD,2,WaferList,1,return_wafer_list,,
RUN-DIAGNOSTICS,CMD,1,SelectTest,1,,,
START,CMD,1,PortID,1,,, 
Bind,CA,1,Capacity,0,,Capacity,1
Bind,CA,2,CarrierAccessingStatus,0,,CarrierAccessingStatus,1
