events,,,,,,,
spname,CEID,eqname,eqCEID,idTSN,isReported,name,description
GEMPORT,10700,GEMPROBER,700,U4,1,JobCreated,JobCreated
GEMPORT,10701,GEMPROBER,701,U4,1,JobCancel,JobCancel
GEMPORT,10702,GEMPROBER,702,U4,1,JobStarted,JobStarted
GEMPORT,10708,GEMPROBER,708,U4,1,JobComplete,JobComplete
GEMPORT,10711,GEMPROBER,711,U4,1,EndStopping,EndStopping
GEMPORT,13001,GEMPROBER,3001,U4,1,PortEmpty,PortEmpty
GEMPORT,13004,GEMPROBER,3004,U4,1,Port1AccessEnd,Port1AccessEnd
GEMPORT,13104,GEMPROBER,3104,U4,1,Port2AccessEnd,Port2AccessEnd
GEMPORT,14008,GEMPROBER,4008,U4,1,ReadyToLoad,ReadyToLoad
GEMPORT,14009,GEMPROBER,4009,U4,1,ReadyToUnload,ReadyToUnload
GEMPORT,14503,GEMPROBER,4503,U4,1,CarrierIDHostVerifyWait,CarrierIDHostVerifyWait
GEMPORT,14504,GEMPROBER,4504,U4,1,CarrierIDEqVerifyOK,CarrierIDVerifyOK
GEMPORT,14505,GEMPROBER,4505,U4,1,CarrierIDVerificationFail_05,CarrierIDVerificationFail_05
GEMPORT,14506,GEMPROBER,4506,U4,1,CarrierIDEqVerifyOK,CarrierIDEqVerifyOK
GEMPORT,14507,GEMPROBER,4507,U4,1,CarrierIDHostVerifyWait,CarrierIDHostVerifyWait
GEMPORT,14508,GEMPROBER,4508,U4,1,CarrierIDVerificationOK,CarrierIDVerificationOK
GEMPORT,14509,GEMPROBER,4509,U4,1,CarrierIDVerificationFail,CarrierIDVerificationFail
GEMPORT,14510,GEMPROBER,4510,U4,1,CarrierIDHostVerifyWait,NoCarrierIDHostVerifyWait
GEMPORT,14511,GEMPROBER,4511,U4,1,CarrierIDEqVerifyOK,CarrierIDEqVerifyOK
GEMPORT,14513,GEMPROBER,4513,U4,1,SlotEqVerifyOK,SlotEqVerifyOK
GEMPORT,14514,GEMPROBER,4514,U4,1,SlotMapWaitingForHost,SlotMapWaitingForHost
GEMPORT,14515,GEMPROBER,4515,U4,1,SlotMapVerifyOK,SlotMapVerifyOK
GEMPORT,14516,GEMPROBER,4516,U4,1,SlotMapVerifyFail,SlotMapVerifyFail
GEMPORT,14518,GEMPROBER,4518,U4,1,CarrierAccessInAccess,CarrierAccessInAccess
GEMPORT,14519,GEMPROBER,4519,U4,1,CarrierAccessComplete,CarrierAccessComplete
GEMPORT,14520,GEMPROBER,4520,U4,1,CarrierAccessStopped,CarrierAccessStopped
GEMPORT,14521,GEMPROBER,4521,U4,1,CarrierObjectTerminated,CarrierObjectTerminated
GEMPORT,14530,GEMPROBER,4530,U4,1,CarrierIDHostVerifyWait,CarrierIDReadFailure
GEMPORT,14531,GEMPROBER,4531,U4,1,CarrierIDHostVerifyWait,CarrierIDRead_NoCarrierObject
GEMPORT,15001,GEMPROBER,5001,U4,1,Into_AT_SOURCE_01,No state to AT SOURCE
GEMPORT,15002,GEMPROBER,5002,U4,1,Into_AT_WORK_02,AT SOURCE to AT WORK
GEMPORT,15003,GEMPROBER,5003,U4,1,Into_AT_SOURCE_03,AT WORK to AT SOURCE
GEMPORT,15004,GEMPROBER,5004,U4,1,Into_AT_WORK_04,AT WORK to AT WORK
GEMPORT,15005,GEMPROBER,5005,U4,1,Into_AT_DESTINATION_05,AT WORK to AT DESTINATION
GEMPORT,15006,GEMPROBER,5006,U4,1,Into_AT_WORK_06,AT DESTINATION to AT WORK
GEMPORT,15007,GEMPROBER,5007,U4,1,Goto_EXTINCTION_07,AT DESTINATION to Extinction
GEMPORT,15008,GEMPROBER,5008,U4,1,Into_AT_SOURCE_08,AT DESTINATION to AT SOURCE
GEMPORT,15009,GEMPROBER,5009,U4,1,Goto_EXTINCTION_09,SUBSTRATE to Extinction
GEMPORT,15020,GEMPROBER,5020,U4,1,Into_NEEDS_PROCESSING_10,No state to NEEDS PROCESSING
GEMPORT,15021,GEMPROBER,5021,U4,1,Into_PROCESS_11,NEEDS PROCESSING to IN PROCESS
GEMPORT,15022,GEMPROBER,5022,U4,1,Into_PROCESSING_COMPLETE_12,IN PROCESS to PROCESSING COMPLETE
GEMPORT,15023,GEMPROBER,5023,U4,1,Into_NEEDS_PROCESSING_13,IN PROCESS to NEEDS PROCESSING
GEMPORT,15024,GEMPROBER,5024,U4,1,Into_PROCESS_14,IN PROCESS to IN PROCESS
GEMPORT,15025,GEMPROBER,5025,U4,1,Into_PROCESSING_COMPLETE_15,NEEDS PROCESSING to PROCESSING COMPLETE
GEMPORT,15051,GEMPROBER,5051,U4,1,Into_OCCUPIED,Into OCCUPIED state
GEMPORT,15052,GEMPROBER,5052,U4,1,Into_UNOCCUPIED,Into UNOCCUPIED state

