event_reports
spname,CEID,RPTID
GEMPORT,14503,6101
GEMPORT,14505,6101
GEMPORT,14507,6101
GEMPORT,14509,6101
GEMPORT,14510,6101
GEMPORT,14513,6103
GEMPORT,14514,6103
GEMPORT,14515,6103
GEMPORT,14516,6103
GEMPORT,14530,6101
GEMPORT,14531,6101
GEMPORT,5063,6005
GEMPORT,5102,6003
GEMPORT,5103,6102
GEMPORT,5104,6003
GEMPORT,5106,6003
GEMPORT,5107,6003
GEMPORT,5124,6102
GEMPORT,5129,6003
GEMPORT,5150,6003
GEMPORT,5151,6003
GEMPORT,5152,6003
GEMPORT,5153,6002
GEMPORT,5153,6003
GEMPORT,5153,6004
GEMPORT,5154,6003
GEMPORT,5155,6002
GEMPORT,5155,6003
GEMPORT,5155,6004
GEMPORT,5156,6003
GEMPORT,5157,6001
GEMPORT,5157,6003
GEMPORT,5157,6004
GEMPORT,5161,6001
GEMPORT,5161,6003
GEMPORT,5164,6007
GEMPORT,5165,6001
GEMPORT,5165,6003
GEMPORT,5165,6004
GEMPORT,5171,6003
GEMPORT,5175,6102
GEMPORT,5801,6901
GEMPORT,5802,6901
GEMPORT,5803,6901
GEMPORT,5804,6901
GEMPORT,5805,6901
GEMPORT,5806,6901
GEMPORT,5807,6901
GEMPORT,5808,6901
GEMPORT,5809,6901
GEMPORT,5810,6901
GEMPORT,5811,6901
GEMPORT,5812,6901
GEMPORT,5813,6901
GEMPORT,5901,6912
GEMPORT,5902,6912
GEMPORT,5903,6912
GEMPORT,5904,6912
GEMPORT,5905,6912
GEMPORT,5906,6912
GEMPORT,5907,6912
GEMPORT,5908,6912
GEMPORT,5909,6912
GEMPORT,5910,6912
GEMPORT,5911,6912
GEMPORT,5912,6912
GEMPORT,5913,6912
GEMPORT,5914,6912
GEMPORT,5915,6912
GEMPORT,5916,6912
GEMPORT,5917,6912
GEMPORT,5918,6912
GEMPROBER,4008,3
GEMPROBER,4009,3
GEMPROBER,4503,1
GEMPROBER,4503,3
GEMPROBER,4505,1
GEMPROBER,4505,3
GEMPROBER,4504,1
GEMPROBER,4504,3
GEMPROBER,4506,1
GEMPROBER,4506,3
GEMPROBER,4507,1
GEMPROBER,4507,3
GEMPROBER,4508,1
GEMPROBER,4508,3
GEMPROBER,4509,1
GEMPROBER,4509,3
GEMPROBER,4510,1
GEMPROBER,4510,3
GEMPROBER,4511,1
GEMPROBER,4511,3
GEMPROBER,4513,1
GEMPROBER,4513,2
GEMPROBER,4513,3
GEMPROBER,4514,1
GEMPROBER,4514,2
GEMPROBER,4514,3
GEMPROBER,4515,1
GEMPROBER,4515,3
GEMPROBER,4516,1
GEMPROBER,4516,3
GEMPROBER,4518,1
GEMPROBER,4518,3
GEMPROBER,4519,1
GEMPROBER,4519,3
GEMPROBER,4520,1
GEMPROBER,4520,3
GEMPROBER,4521,1
GEMPROBER,4521,3
GEMPROBER,4530,1
GEMPROBER,4530,3
GEMPROBER,4531,1
GEMPROBER,4531,3
GEMPROBER,700,4
GEMPROBER,701,4
GEMPROBER,702,4
GEMPROBER,708,4
GEMPROBER,711,4
