transition_events,,,,,
type ,message,stateModel,currentState,order,CEID
ALARM,,Equip,CHECKING,1,5021
ALARM,,Equip,IDLENOTREADY,1,5018
ALARM,,Equip,IDLEREADY,1,5018
ALARM,,Equip,INIT,1,5001
ALARM,,Equip,INIT,2,5018
ALARM,,Equip,PAUSED,1,5021
ALARM,,Equip,PAUSING,1,5021
ALARM,,Equip,PROCESSING,1,5008
ALARM,,Equip,WORKSTATIONREADY,1,5000
ALARM,,Equip,WORKSTATIONREADY,2,5001
ALARM,,Equip,WORKSTATIONREADY,3,5018
CA,Bind,Association,NOTASSOCIATED,1,5602
CA,Bind,Reservation,NOTRESERVED,1,5502
CA,CancelBind,Association,ASSOCIATED,1,5603
CA,CancelBind,Reservation,RESERVED,1,5503
CA,ProceedWithCarrier,CarrierAccess,NOTACCESSED,1,5418
CA,CarrierReCreate,Port,RELEASED,1,5174
CEID,ReadyToLoad,Port,RELEASED,1,5174
CEID,ReadyToUnload,Port,RELEASING,1,5173
CEID,CarrierIDEqVerifyOK,CarrierID,IDNOTREAD,1,5206
CEID,CarrierIDEqVerifyOK,Association,NOTASSOCIATED,1,5602
CEID,CarrierIDEqVerifyOK,Reservation,RESERVED,1,5503
CEID,CarrierIDHostVerifyWait,Association,NOTASSOCIATED,1,5602
CEID,CarrierIDHostVerifyWait,Reservation,RESERVED,1,5503
CEID,CarrierIDVerificationOK,CarrierID,IDWAITINGFORHOST,1,5208
CEID,CarrierIDVerificationOK,CarrierID,IDNOTREAD,1,5207
CEID,CarrierIDVerificationOK,CarrierID,IDNOTREAD,2,5208
CEID,CarrierIDVerificationFail,CarrierID,IDWAITINGFORHOST,1,5209
CEID,CarrierIDVerificationFail,CarrierID,IDNOTREAD,1,5207
CEID,CarrierIDVerificationFail,CarrierID,IDNOTREAD,2,5209
CEID,SlotEqVerifyOK,SlotMap,SLOTMAPNOTREAD,1,5313
CEID,SlotEqVerifyOK,Association,NOTASSOCIATED,1,5602
CEID,SlotEqVerifyOK,Reservation,RESERVED,1,5503
CEID,SlotMapWaitingForHost,Association,NOTASSOCIATED,1,5602
CEID,SlotMapWaitingForHost,Reservation,RESERVED,1,5503
CEID,SlotMapWaitingForHost,SlotMap,SLOTMAPNOTREAD,1,5314
CEID,SlotMapVerifyOK,SlotMap,SLOTMAPWAITINGFORHOST,1,5315
CEID,SlotMapVerifyOK,SlotMap,SLOTMAPNOTREAD,1,5314
CEID,SlotMapVerifyOK,SlotMap,SLOTMAPNOTREAD,2,5315
CEID,SlotMapVerifyFail,SlotMap,SLOTMAPWAITINGFORHOST,1,5316
CEID,SlotMapVerifyFail,SlotMap,SLOTMAPNOTREAD,1,5314
CEID,SlotMapVerifyFail,SlotMap,SLOTMAPNOTREAD,2,5316
CEID,CarrierAccessInAccess,CarrierAccess,NOTACCESSED,1,5418
CEID,CarrierAccessInAccess,Association,NOTASSOCIATED,1,5602
CEID,CarrierAccessInAccess,Reservation,RESERVED,1,5503
CEID,CarrierAccessComplete,CarrierAccess,INACCESS,1,5419
CEID,CarrierAccessStopped,CarrierAccess,INACCESS,1,5420
CEID,CarrierObjectTerminated,Association,ASSOCIATED,1,5603
CMD,ABORT,Equip,ALARMPAUSED,1,5014
CMD,ABORT,Equip,CHECKING,1,5014
CMD,ABORT,Equip,PAUSED,1,5014
CMD,ABORT,Equip,PAUSING,1,5014
CMD,ABORT,Equip,PROCESSING,1,5007
CMD,ABORT,Equip,STOPPING,1,5015
CMD,ABORT,Port,DIEEND,1,5107
CMD,ABORT,Port,DIESTART,1,5107
CMD,ABORT,Port,LOTCOMPLETE,1,5107
CMD,ABORT,Port,LOTSTART,1,5107
CMD,ABORT,Port,PENDINGCLOSE,1,5107
CMD,ABORT,Port,PENDINGCOMPLETE,1,5107
CMD,ABORT,Port,READY,1,5107
CMD,ABORT,Port,REREADY,1,5107
CMD,ABORT,Port,RESETUP,1,5107
CMD,ABORT,Port,SETTINGUP,1,5107
CMD,ABORT,Port,STARTING,1,5107
CMD,ABORT,Port,SUBLOTCOMPLETE,1,5107
CMD,ABORT,Port,SUBLOTSTART,1,5107
CMD,CJABORT,Equip,ALARMPAUSED,1,5014
CMD,CJABORT,Equip,PAUSED,1,5034
CMD,PJABORT,Equip,ALARMPAUSED,1,5014
CMD,PJABORT,Equip,PAUSED,1,5034
CMD,CLOSE-CASSETTE,Port,LOTCOMPLETE,1,5172
CMD,CLOSE-CASSETTE,Equip,ABORTING,1,5016
CMD,CLOSE-CASSETTE,Equip,ABORTING,2,5017
CMD,PAUSE,Equip,PROCESSING,1,5009
CMD,PP-SELECT,Equip,IDLEREADY,1,5002
CMD,PP-SELECT,Port,STANDBY,1,5102
CMD,PP-SELECT,Port,PENDINGCOMPLETE,1,5158
CMD,PP-SELECT,Port,LOTCOMPLETE,1,5187
CMD,RESUME,Equip,PAUSED,1,5034
CMD,RETEST,Port,PENDINGCOMPLETE,1,5161
CMD,PP-SELECT,Port,PENDINGCLOSE,1,5178
CMD,START,Port,READY,1,5104
CMD,START,Port,REREADY,1,5181
CMD,STOP,Equip,ALARMPAUSED,1,5013
CMD,STOP,Equip,CHECKING,1,5013
CMD,STOP,Equip,PAUSED,1,5013
CMD,STOP,Equip,PAUSING,1,5013
CMD,STOP,Equip,PROCESSING,1,5006
CMD,STOP,Port,DIEEND,1,5106
CMD,STOP,Port,DIESTART,1,5106
CMD,STOP,Port,LOTCOMPLETE,1,5106
CMD,STOP,Port,LOTSTART,1,5106
CMD,STOP,Port,PENDINGCLOSE,1,5106
CMD,STOP,Port,PENDINGCOMPLETE,1,5106
CMD,STOP,Port,READY,1,5106
CMD,STOP,Port,REREADY,1,5106
CMD,STOP,Port,RESETUP,1,5106
CMD,STOP,Port,SETTINGUP,1,5106
CMD,STOP,Port,STARTING,1,5106
